id,eventId,typeId,periodId,timeMin,timeSec,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/11/value,qualifier/15/value,assist
2772716335,1,34,16,0,0,1,0,0,5496287187,197,9596,5496285903,130,6,5496285901,59,"1, 44, 15, 18, 32, 21, 11, 22, 29, 10, 17, 9, 12, 16, 19, 31, 33, 35, 63, 72",5496285897,30,"dwb1qzzd5g32lwxam6skmdr6x, ck9nyxv100c1x24zxde7fx1t6, 825wa3surm6iii587l4ekx7mx, wx88q7cbam0swyvjt262qui, cdd3to4e3ac0d61iy3vtp6pzo, 5hmx68vjqij9ywdv61v2qyrmy, 1cclqc2tw3zav2if1cqij7ofe, doiw2drickz2eacyeudn3szmy, 31v9w4cyk1fxlig452kuc65ed, 1rsxl4rnswqez6c6rwp7768r9, 4sqnd13g7n9e4orv6hcp27fxm, ar6epfwqqob8wx8tra17jxkgl, 1ljdpwqn16dijby5ss9eockfe, 1qthfdkbz92jucy9vpqimltec, 5u8pjzdgzsnrait021jvk3sdm, 7aqvamg9e8tr7fqzh7jobdel0, egeh2m78a06wklvu46mhvlo89, 4l0se1iapxcmd1jb4851aj6c5, 6oq9kpqxuh76it0pra7t5mcmi, f4jhjhj5vfp8fp67m7a89di50",5496285899,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5496285905,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5496285909,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5496285907,194,825wa3surm6iii587l4ekx7mx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772716513,1,34,16,0,0,1,0,0,5496286889,59,"1, 12, 27, 14, 33, 35, 6, 16, 20, 10, 23, 24, 25, 26, 29, 31, 74, 77, 78, 99",5496286891,130,19,5496286893,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5496286887,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5496286895,194,5hi3s09qsxkuv8l5nw8d8qqj9,5496286885,30,"eu9kw6jcgneygerxqlfj00r11, 1i4qgopfzsr2xyfs93kjtcvai, 8js8a2yz6jly94vf0ilyg76s4, 5ku3ut12bd65rq9qoobyv2jh0, 5hi3s09qsxkuv8l5nw8d8qqj9, ciydd242v6efvzsqd2hxqvwus, 1csytueiqmph9zm2p58ww333e, 3hyx5x335jn5udim2a132nt2h, 2hsgcgekgsls87pbwwz9a3q39, bwiqj25qbrcc2xhc8faqb44wl, 99p8q4t09iq7scfgt0bkrmlpm, 2b4zbxnmjo1fd9gntr3zgn4yd, dc8zct96hw1uct3arbrq408b8, d0b9bmoy2tfpyra3bra95rdhw, fekzw1l7xz97js7ns7ag2mfo, 61omz2augmafukhx5q6zydw8a, 11xl1jtpjn674dw6yxfv33pey, 9w7vzklkn51n608f2md2ds3kk, 1uvpqxrzxnjfb790p5t1mjztg, 2n6c8ciuley3hz0fnt6gn4zpx",5496287091,197,21302,5496286897,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772721217,2,32,1,0,0,1,0,0,5496318307,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772721215,2,32,1,0,0,1,0,0,5496318303,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772721219,3,1,1,0,1,1,50,50,5496318319,279,S,5496318317,213,2.93,5496318309,56,Back,5496318313,141,55.4,5496318311,140,34,5496318315,212,17.2,,,,,,,31v9w4cyk1fxlig452kuc65ed,Jamie Maclaren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772721225,4,1,1,0,5,1,33.2,52.8,5496319593,157,,5496318355,213,5.74,5496318351,141,7.1,5496318353,212,60.1,5496318357,1,,5496318349,140,82.2,5496318347,56,Right,,,,5hmx68vjqij9ywdv61v2qyrmy,Alberto Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772721223,3,83,1,0,9,0,24.4,99.3,5496318443,399,1rsxl4rnswqez6c6rwp7768r9,,,,,,,,,,,,,,,,,,,,,,ciydd242v6efvzsqd2hxqvwus,Pramveer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772721229,5,1,1,0,12,1,71,12.9,5496318379,212,10.1,5496318377,141,24.7,5496318375,140,65.1,5496318381,213,2.23,5496318373,56,Center,,,,,,,,,,1rsxl4rnswqez6c6rwp7768r9,Greg Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772721231,6,1,1,0,15,1,65.9,22.8,5496318397,56,Right,5496318399,140,62.2,5496318401,141,7,5496318403,212,11.4,5496318405,213,4.37,,,,,,,,,,wx88q7cbam0swyvjt262qui,Sahal Abdul Samad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772721233,7,1,1,0,16,1,63.5,8.8,5496318417,141,16.2,5496318415,140,44.2,5496318419,212,20.9,5496318423,213,2.9,5496318413,56,Back,,,,,,,,,,ck9nyxv100c1x24zxde7fx1t6,Asish Rai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
