id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,teamName
2773057187,1,34,16,0,0,7xo09xnh3y03lyai6azr77fo0,1,0,0,2025-02-07T12:58:01.125Z,2025-02-07T12:58:03Z,5498227753,197,21981,5498227747,130,8,5498227751,194,awmnvgz0piarvn8o7b7zk57f9,5498227745,59,"1, 22, 77, 6, 12, 4, 10, 13, 14, 15, 18, 2, 3, 11, 16, 17, 19, 23, 29, 32",5498227741,30,"f1tuc3g6x0bvykbf3l6kckhnu, 27cg2gd6m8m4cw75j37dquxud, 31a4sn8saxhfnh57j7c1yy2ac, cmipqs8kvp9fztc1ekgzlwogl, dq2edinn9zcsx9ztdmkw33l61, awmnvgz0piarvn8o7b7zk57f9, xm1pai2cllklkwkgpb7n5mmt, 6vak9npg73k6di2oagxg8ttgq, 8dzeq723volchfye1smryolt6, dq03xoo08fyces9h371x0ce1g, d2ouk806csxbamwjbwlxwi92i, dpg6dskbwuf9die5imz7z1y7e, 6ariy9j4fdbyhn54pldheaz56, e41kyipdxjy3gkni3idz31mac, 6gu13e7x453t0lhnmz1gfr2tw, 989i9o2rat334wwkdlqssejh0, 5g8572gxi73ztuk13kttx9b84, 8e7tqocxsueniln7rzsy2l46i, 1gvtrxfn3vt9ddiextvtjicd0, 1ctlomg9lmbz9y86xgonquvsa",5498227755,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5498227743,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5498227749,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC
2773057307,1,34,16,0,0,1oyc8wvt31xlmocyg7euv40bo,1,0,0,2025-02-07T12:59:00.355Z,2025-02-07T14:03:22Z,5498228367,197,20562,5498228365,194,4caacpozfluk9p6ljrkzzo8o9,5498228359,59,"1, 3, 27, 8, 5, 4, 7, 21, 28, 10, 29, 11, 13, 16, 20, 32, 33, 36, 77, 92",5498228363,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5498228361,130,8,5498228369,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5498228357,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5498228355,30,"911ma7mry52gxar14xb0wrkkp, 8uo53q5n2lt81faxntpfsj0q2, ds9i23kxqerve1nqc9l2vlsk, 6n6x88fmmeybwkr6nt8djmac5, easkhb7p76ltpwpqkntmcu6ll, 8jagdiyhimgmuz0ku5mm1266t, 4caacpozfluk9p6ljrkzzo8o9, 8ivkc4eqlrtucjitvl8fcgu6t, 2c5ua7pkk2ty91mbbyghs3w9g, 7t90qi8vml1rdscbbwy0wbuuh, uuh0y713rzg940ai1bjs08ut, 380ubomb76m0img8g2dfwx7mx, dh1cktmvz3s0ynf3gv6u6hy39, 6wycqyl2ra8kyopmew3thk3ys, jewe7em2j8u4bw7xxbucebbp, 6m3zkoyii9xid73vbjzks5x0q, ewsvhfqhdx59yl2ui9wkxwez9, 46imbd3n5ksawlc59rxd6ymwa, 4plzgtpytfv010gs2lqantjbo, cmr1iot1ws3kzxkwu0pl5gb9w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC
2773064645,2,32,1,0,0,1oyc8wvt31xlmocyg7euv40bo,1,0,0,2025-02-07T14:00:37.198Z,2025-02-07T14:00:37Z,5498272157,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC
2773064653,2,32,1,0,0,7xo09xnh3y03lyai6azr77fo0,1,0,0,2025-02-07T14:00:37.198Z,2025-02-07T14:00:39Z,5498272209,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC
2773064717,3,1,1,0,0,7xo09xnh3y03lyai6azr77fo0,1,49.9,49.6,2025-02-07T14:00:37.199Z,2025-02-07T14:03:18Z,5498272549,279,S,5498272547,213,2.9,5498272545,212,17,5498272539,56,Back,5498272543,141,55.7,5498272541,140,34.2,,,,,,,6vak9npg73k6di2oagxg8ttgq,Muthu Mayakkannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC
2773064725,4,1,1,0,3,7xo09xnh3y03lyai6azr77fo0,1,35.5,53.4,2025-02-07T14:00:40.713Z,2025-02-07T14:03:34Z,5498272575,56,Center,5498272577,140,54.3,5498272581,212,19.8,5498272583,213,0.07,5498272579,141,55.5,,,,,,,,,,cmipqs8kvp9fztc1ekgzlwogl,Mohammed Bemammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC
2773064867,13,43,1,0,5,7xo09xnh3y03lyai6azr77fo0,1,0,0,2025-02-07T14:00:43.039Z,2025-02-07T14:03:57Z,5498273415,157,0,5498275327,144,1,5498273417,56,Center,5498273425,213,0.11,5498273427,1,0,5498273419,140,71.2,5498273423,212,36.1,5498273421,141,62.4,cmipqs8kvp9fztc1ekgzlwogl,Mohammed Bemammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC
2773064729,5,1,1,0,7,7xo09xnh3y03lyai6azr77fo0,0,55.2,62.2,2025-02-07T14:00:44.619Z,2025-02-07T14:04:51Z,5498272599,56,Center,5498272607,213,0.43,5498272605,212,9,5498272601,140,63,5498272603,141,67.7,,,,,,,,,,6vak9npg73k6di2oagxg8ttgq,Muthu Mayakkannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC
2773064731,3,49,1,0,10,1oyc8wvt31xlmocyg7euv40bo,1,20.6,27.9,2025-02-07T14:00:47.923Z,2025-02-07T14:05:25Z,,,,,,,,,,,,,,,,,,,,,,,,,easkhb7p76ltpwpqkntmcu6ll,Mehtab Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC
2773064733,4,1,1,0,10,1oyc8wvt31xlmocyg7euv40bo,1,20.6,27.9,2025-02-07T14:00:48.033Z,2025-02-07T14:05:27Z,5498272621,213,5.68,5498272619,212,17.8,5498272617,141,13.1,5498272615,140,34.6,5498272613,56,Back,,,,,,,,,,easkhb7p76ltpwpqkntmcu6ll,Mehtab Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC
