id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,teamName,Position
2773474501,1,34,16,0,0,1kqb5u8em0tj1k40607w2vtl4,1,0,0,2025-02-08T13:11:47.723Z,2025-02-08T14:04:29Z,5500469503,30,"a9gquocdgtb8bpk99a5a110mi, 9h25nvm0qom316k8qamw5zh1w, bepdz3gbb2rxeuae2lt159g16, 8s6nlre415t2uxinzkx3w0xlg, evpkruwe8cis1pfkujwfwr9hx, ajkkf12dn8livsb196zp7w0d1, 3macevv6d8kk7a3na4b3zh2j8, e5pgescmpgtyk96b07mpicsq2, 83rpxksxq3qq7vxslur4ge5sl, dkk86y8pa3svtz43c0m55qn6x, 5phslvtihgvzghwa9dqmqtune, 5sifbrmwnzisvbvutlcx25v1m, 9o2dyl3cbm2ni3874doydh49h, a5hmrpq6qy5ac6ir7hd4fajxm, 87ij2wepxhp3jdsgylz99c8dm, 18du6lik5pot8uofj1s1n0nl6, amlbv42tcsqmxktheidr23sru, co1a0flew05hmeteg442x7vmd, dej3o41jgebei5deqs5m5fris, h8166wj7jjqddgelgyf61nu1",5500684687,197,3123,5500469511,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5500469505,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5500469515,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5500469507,59,"13, 4, 23, 22, 20, 5, 19, 37, 9, 10, 70, 1, 3, 6, 7, 8, 21, 27, 47, 71",5500469513,194,dkk86y8pa3svtz43c0m55qn6x,5500469509,130,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2773476423,1,34,16,0,0,28au628w8n2jhgujuwh3y5d8k,1,0,0,2025-02-08T13:13:41.588Z,2025-02-08T13:13:41Z,5500479473,30,"d18hxamo4wksojpx0f2zjy63u, 369ef7pxl6ckbg088w9zi36ne, 5brj4wwxu99bicq7xhzs6zvmx, b9kf9cu52au3odus91nzktc2y, 5ygjbmzm0l7t0bgv55bvthlyi, 2hi6y8so55eic1ukr0jy88a1h, 7i3zwc7zfo75m8xu49e4faqz8, 5yau328orkeysj2rs0wyms73d, 2sqyhih507ep3hv7iwg2gluc5, yuw4a34cpasw5e4vqsg6ex1x, dgiqagc8iygqc0a1f3gj03q0a, irrbg32cem9i7s93x1u4m39w, 5v3uwywml338auid2883s5990, 1ai400ynp7h18m2abw15lbnro, 8bz6754ot1g7gd2k90qfqnuy2, 1hqbyv7h0jhjjf1xlwrhdh1w5, a46nb8nifruibgamjyq2tb4ve, 2haf9lri7plf00nrxt5fsyzmx, 6bgcubncyevstsj12znvexbhm, eeires5yhj68qhrd20r15s8dm",5500479485,197,13642,5500479483,194,5yau328orkeysj2rs0wyms73d,5500479475,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5500479481,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5500479477,59,"13, 12, 22, 6, 5, 44, 82, 21, 7, 9, 29, 88, 85, 84, 28, 24, 14, 11, 4, 3",5500479479,130,2,5500479487,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
2773518673,2,32,1,0,0,1kqb5u8em0tj1k40607w2vtl4,1,0,0,2025-02-08T14:00:22.679Z,2025-02-08T14:00:22Z,5500699541,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2773518693,2,32,1,0,0,28au628w8n2jhgujuwh3y5d8k,1,0,0,2025-02-08T14:00:22.679Z,2025-02-08T14:00:25Z,5500699597,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
2773518729,3,1,1,0,0,28au628w8n2jhgujuwh3y5d8k,1,50,50,2025-02-08T14:00:22.680Z,2025-02-08T14:00:26Z,5500699749,141,67.3,5500699755,279,S,5500699747,140,27.5,5500699753,213,2.68,5500699745,56,Back,5500699751,212,26.4,,,,,,,yuw4a34cpasw5e4vqsg6ex1x,Dimitrios Diamantakos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
2773518843,4,1,1,0,3,28au628w8n2jhgujuwh3y5d8k,1,27.5,67.3,2025-02-08T14:00:26.638Z,2025-02-08T14:00:31Z,5500700225,212,36,5500700217,157,,5500700223,141,79.6,5500700219,56,Left,5500700221,140,60.8,5500700229,1,,5500700227,213,0.23,,,,2hi6y8so55eic1ukr0jy88a1h,Hector Yuste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
2773518855,5,44,1,0,8,28au628w8n2jhgujuwh3y5d8k,1,63.3,81.6,2025-02-08T14:00:30.927Z,2025-02-08T16:39:37Z,5500700277,286,,5500700303,233,3,5500700275,56,Left,,,,,,,,,,,,,,,,dgiqagc8iygqc0a1f3gj03q0a,Mahesh Singh Naorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
2773518857,3,44,1,0,8,1kqb5u8em0tj1k40607w2vtl4,0,36.7,18.4,2025-02-08T14:00:30.928Z,2025-02-08T16:39:37Z,5500700283,56,Back,5500700285,285,,5500700323,233,5,,,,,,,,,,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2773518869,6,1,1,0,8,28au628w8n2jhgujuwh3y5d8k,0,60.8,79.6,2025-02-08T14:00:31.239Z,2025-02-08T14:00:32Z,5500700357,212,12.6,5500700353,140,72.7,5500700355,141,81.8,5500700349,3,,5500700359,213,0.12,5500700351,56,Left,,,,,,,dgiqagc8iygqc0a1f3gj03q0a,Mahesh Singh Naorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
2773518919,4,1,1,0,11,1kqb5u8em0tj1k40607w2vtl4,0,37.3,28.5,2025-02-08T14:00:34.125Z,2025-02-08T14:05:19Z,5500700625,213,2.34,5500700617,56,Back,5500700621,141,32.2,5500700619,140,35,5500700623,212,3.5,,,,,,,,,,e5pgescmpgtyk96b07mpicsq2,Jiteshwor Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2773518907,7,61,1,0,13,28au628w8n2jhgujuwh3y5d8k,1,63.6,70,2025-02-08T14:00:35.734Z,2025-02-08T14:00:35Z,5500700577,56,Center,,,,,,,,,,,,,,,,,,,,,,dgiqagc8iygqc0a1f3gj03q0a,Mahesh Singh Naorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
2773518929,5,1,1,0,13,1kqb5u8em0tj1k40607w2vtl4,0,35.1,33.1,2025-02-08T14:00:36.366Z,2025-02-08T14:00:36Z,5500700657,140,43.8,5500700663,213,5.72,5500700653,155,,5500700659,141,24.6,5500700655,56,Back,5500700661,212,10.8,,,,,,,8s6nlre415t2uxinzkx3w0xlg,Lalrinliana Hnamte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2773519001,6,49,1,0,17,1kqb5u8em0tj1k40607w2vtl4,1,48.4,2.2,2025-02-08T14:00:40.526Z,2025-02-08T14:00:40Z,,,,,,,,,,,,,,,,,,,,,,,,,9h25nvm0qom316k8qamw5zh1w,Laldinpuia P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2773519065,7,1,1,0,18,1kqb5u8em0tj1k40607w2vtl4,1,48.4,2.2,2025-02-08T14:00:41.022Z,2025-02-08T14:00:44Z,5500701167,212,22.4,5500701147,140,69.7,5500701145,56,Right,5500701149,141,4,5500701169,213,0.05,,,,,,,,,,9h25nvm0qom316k8qamw5zh1w,Laldinpuia P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2773519071,8,61,1,0,21,1kqb5u8em0tj1k40607w2vtl4,0,69.9,4.7,2025-02-08T14:00:44.271Z,2025-02-08T14:00:44Z,5500701177,56,Right,,,,,,,,,,,,,,,,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
