id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/16/value
2774250633,1,34,16,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,2025-02-09T13:10:36.127Z,2025-02-09T14:01:43Z,5504610973,194,99cjmvx4xlyzhyf6wxlvisb11,5504583097,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5504583107,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5504583103,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5504583101,130,4,5504583099,59,"28, 32, 12, 18, 2, 4, 10, 8, 17, 7, 11, 1, 9, 19, 23, 24, 25, 26, 31, 37",5504583105,197,21469,5504583095,30,"pf04royfgavano96z7n7x3v9, 3sy4rxdzl4u9e5kkvygxu9x7u, eisspzerdcz21ukznum5q30bu, c8xdtls9ueivjll19yvp5wq1h, 183r263z06eesonzbta557ys5, duxnzil70n1147w8ob8ooxo89, jtmpumg28emowvrre2ujqtw5, de6woepvuggpm1z2cwz1nbmne, 7wpltjujzubkwy1k57jzcwafp, cufgsqfkltgeb7ak2uan2dqdx, 99cjmvx4xlyzhyf6wxlvisb11, et5ztuwgv6uaiste9nxba9h3p, deyx0zxr2303hh3cru8l88u1g, acgw28v8r6pzwuin89f1sah1x, c22j2xs6nnyho3hixmh0txo9g, 7gknnojch0zpa9cryvymfzcru, 7vwq6tjwae82epsh6kll9phm2, 3syfp9ndbs7t5vgj21a02gcno, daflma7990pzvp9o2ebnzi1as, ef03lfm2rxiagu5gv86jqp3x0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2774252777,1,34,16,0,0,ajwqetklk0m22x7ifsjax5yi,1,0,0,2025-02-09T13:13:01.980Z,2025-02-09T13:16:48Z,5504594227,59,"32, 77, 23, 8, 4, 3, 7, 20, 9, 10, 11, 33, 24, 22, 21, 18, 15, 5, 12, 14",5504612027,194,3vdeg67iuouaj5rfdrnh14h5h,5504594235,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5504594223,30,"5jtd252do025958pgqkigc0d1, 1ilh1vogo8mggj0vhf2oknswk, a1rjrfrukdqfztu8c9l88wduc, 3i9ye7yfz4j9bhbi8gco7mjca, 14w76iqim5kly2adzwc9n6wgl, banlw3aybtscei2n206mlzf85, 31g5m4lerjmoykobyt8cckxxx, 7q0oc78bzao7g3iy7zoobmy1, 88x8tqxamao1dzdfz5libluui, 3vdeg67iuouaj5rfdrnh14h5h, 11een7yuvw4psjhjuakk75clw, b8l2ubkujj1lhnld7k97qa2qy, 7ci9hj1m4rzmmu0cvyk2iy0ru, 8vulbgpf7e1nmpnawi5z8vbze, 27ep4aadiffsck8usuolvc416, 3e4twzsgwcxza9739q17gn4h6, 2z2u1jd91uyccw2pn5qoiti0a, iydj3zcyzjgguy8iwmitdp05, c3a0lyz3sn54rehi0tk1pba39, ex1jk22ckbwg721ie0azus2c5",5504594225,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5504594229,130,8,5504594231,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5504594233,197,27608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2774290827,3,32,1,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,2025-02-09T14:00:07.756Z,2025-02-09T14:00:10Z,5504793585,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2774290817,3,32,1,0,0,ajwqetklk0m22x7ifsjax5yi,1,0,0,2025-02-09T14:00:07.756Z,2025-02-09T14:00:08Z,5504793543,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2774290831,4,1,1,0,0,12ksg0e6d70senzilsic40fzl,1,50.2,50,2025-02-09T14:00:08.069Z,2025-02-09T14:00:11Z,5504793603,56,Back,5504793609,212,3.9,5504793605,140,48.1,5504793607,141,45.2,5504793611,213,4.12,5504793613,279,S,5504793741,278,,,,,7wpltjujzubkwy1k57jzcwafp,Édgar Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2774290881,5,1,1,0,2,12ksg0e6d70senzilsic40fzl,1,51.9,44.6,2025-02-09T14:00:10.568Z,2025-02-09T14:00:13Z,5504793867,213,4.22,5504793863,141,12.0,5504793861,140,40.7,5504793865,212,25.1,5504793859,56,Back,,,,,,,,,,c8xdtls9ueivjll19yvp5wq1h,Pedro Capó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2774290933,6,1,1,0,5,12ksg0e6d70senzilsic40fzl,0,40.9,12,2025-02-09T14:00:12.990Z,2025-02-09T14:00:17Z,5504794127,213,0.92,5504794119,56,Left,5504794115,155,,5504794123,141,100.0,5504794121,140,84.5,5504794129,1,,5504794125,212,75.7,5504794117,196,,3sy4rxdzl4u9e5kkvygxu9x7u,R. Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2774291085,4,5,1,0,9,ajwqetklk0m22x7ifsjax5yi,1,15.9,-1.2,2025-02-09T14:00:16.850Z,2025-02-09T15:03:45Z,5504794949,347,,5504794953,233,7,5504794947,56,Back,,,,,,,,,,,,,,,,1ilh1vogo8mggj0vhf2oknswk,N. Barla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2774290939,7,5,1,0,9,12ksg0e6d70senzilsic40fzl,0,84.1,101.2,2025-02-09T14:00:16.850Z,2025-02-09T15:03:45Z,5504794163,56,Left,5504794983,233,4,5504794165,347,,,,,,,,,,,,,,,,,3sy4rxdzl4u9e5kkvygxu9x7u,R. Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2774291107,5,1,1,0,21,ajwqetklk0m22x7ifsjax5yi,0,16.5,0,2025-02-09T14:00:29.083Z,2025-02-09T14:00:31Z,5504795109,107,,5504795121,1,,5504795117,212,24.2,5504795119,213,0.15,5504795115,141,3.5,5504795111,56,Back,5504795113,140,39.3,,,,1ilh1vogo8mggj0vhf2oknswk,N. Barla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
