id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,teamName,Position
2775352425,1,34,16,0,0,1oyc8wvt31xlmocyg7euv40bo,1,0,0,2025-02-12T12:59:50.435Z,2025-02-12T12:59:49Z,5510667299,194,4caacpozfluk9p6ljrkzzo8o9,5510667297,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5510667295,130,4,5510667301,197,20562,5510667291,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5510667293,59,"1, 3, 27, 8, 5, 13, 21, 10, 11, 7, 6, 15, 16, 18, 20, 28, 32, 36, 77, 92",5510667289,30,"911ma7mry52gxar14xb0wrkkp, 8uo53q5n2lt81faxntpfsj0q2, ds9i23kxqerve1nqc9l2vlsk, 6n6x88fmmeybwkr6nt8djmac5, easkhb7p76ltpwpqkntmcu6ll, dh1cktmvz3s0ynf3gv6u6hy39, 8ivkc4eqlrtucjitvl8fcgu6t, 7t90qi8vml1rdscbbwy0wbuuh, 380ubomb76m0img8g2dfwx7mx, 4caacpozfluk9p6ljrkzzo8o9, 8hst6awgd2m3z7kxj0bjoj4oa, 93v1etcnz6vomdz6zup575hey, 6wycqyl2ra8kyopmew3thk3ys, 63q26pto3aa8n25y7d0n9baw9, jewe7em2j8u4bw7xxbucebbp, 2c5ua7pkk2ty91mbbyghs3w9g, 6m3zkoyii9xid73vbjzks5x0q, 46imbd3n5ksawlc59rxd6ymwa, 4plzgtpytfv010gs2lqantjbo, cmr1iot1ws3kzxkwu0pl5gb9w",5510667303,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC, 
2775352979,1,34,16,0,0,9eqjks8amwm1ycytsoi7xld25,1,0,0,2025-02-12T13:02:49.008Z,2025-02-12T13:02:47Z,5510670753,194,cs6a7dp9ot01jwplqj2xmxrrp,5510670755,197,26696,5510670757,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5510670743,30,"ekizuw6hg7uyaojwjusby1jbo, dl5tnk2o8rwiacgbsnldojsdm, cpodiheplpmn42lw8l2fdrjtg, 5hligrqwpc6qzxiyg4rfeay1h, cs6a7dp9ot01jwplqj2xmxrrp, qlk46xybcoxrvr01pauxibpx, d5adi48nrkr3n0dqoitcdzu95, 9d8lhd93zoyekfcypi15zt7je, 827uzczm286djuyq5m1jykr85, cjlcl3qpjqrsnouucxg7xpuqd, e2j3eitceuxqxf4lj5yjfccno, 57fizz3ad5m2w0qz8v6xeazmd, b3khxum0vaam8qme2imlwhh3p, a6ys5uqsrmmeorj6f8ogoxbvu, e7dhnqiwnz4k433yqu7sb13e2, j8o05z2drw3xbcgcwk7g04wl, 2133i1f3tem0bpoxw0naq3sgl, 8aa6rgjs6vqeqnt8f5dsu9l2h, 8ea7iywugl9n7ntz3uu251ih, bpjhf7w833sd77s9phx8bpvdg",5510670751,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5510670745,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5510670749,130,8,5510670747,59,"55, 17, 41, 4, 16, 3, 21, 14, 34, 26, 42, 8, 9, 10, 13, 15, 18, 20, 30, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa, 
2775366661,2,32,1,0,0,1oyc8wvt31xlmocyg7euv40bo,1,0,0,2025-02-12T14:00:33.436Z,2025-02-12T14:00:35Z,5510748811,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC, 
2775366659,2,32,1,0,0,9eqjks8amwm1ycytsoi7xld25,1,0,0,2025-02-12T14:00:33.436Z,2025-02-12T14:00:33Z,5510748809,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa, 
2775366675,3,1,1,0,0,9eqjks8amwm1ycytsoi7xld25,1,49.9,50.2,2025-02-12T14:00:33.437Z,2025-02-12T14:00:38Z,5510748863,140,19.9,5510748871,279,S,5510748865,141,50.3,5510748869,213,3.14,5510748867,212,31.5,5510748861,56,Back,,,,,,,cjlcl3qpjqrsnouucxg7xpuqd,Borja Herrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa, 
2775366685,4,1,1,0,4,9eqjks8amwm1ycytsoi7xld25,0,19.9,50.3,2025-02-12T14:00:38.077Z,2025-02-12T14:00:41Z,5510748931,56,Left,5510748939,213,0.34,5510748937,212,63.8,5510748935,141,81.9,5510748929,155,,5510748933,140,77.1,5510748941,1,,,,,ekizuw6hg7uyaojwjusby1jbo,Hrithik Tiwari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,Goalkeeper
2775366689,3,1,1,0,8,1oyc8wvt31xlmocyg7euv40bo,0,29.9,17.1,2025-02-12T14:00:41.578Z,2025-02-12T14:51:01Z,5510748963,141,16.8,5510748967,213,6.27,5510748965,212,12.6,5510748961,140,41.9,5510748957,3,,5510748959,56,Back,,,,,,,8uo53q5n2lt81faxntpfsj0q2,Valpuia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC, 
2775366695,5,1,1,0,10,9eqjks8amwm1ycytsoi7xld25,0,60.7,76.5,2025-02-12T14:00:44.285Z,2025-02-12T14:00:50Z,5510748983,141,100,5510748987,213,1.78,5510748985,212,17.2,5510748981,140,57.3,5510748977,3,,5510748979,56,Left,,,,,,,5hligrqwpc6qzxiyg4rfeay1h,Carl McHugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa, 
2775366711,4,5,1,0,13,1oyc8wvt31xlmocyg7euv40bo,1,43.4,-2,2025-02-12T14:00:47.140Z,2025-02-12T14:23:03Z,5510749043,233,6,5510749035,56,Back,5510749037,347,,,,,,,,,,,,,,,,,4caacpozfluk9p6ljrkzzo8o9,Lallianzuala Chhangte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC, 
2775366701,6,5,1,0,13,9eqjks8amwm1ycytsoi7xld25,0,56.6,102,2025-02-12T14:00:47.140Z,2025-02-12T14:23:04Z,5510749007,347,,5510749047,233,4,5510749005,56,Left,,,,,,,,,,,,,,,,5hligrqwpc6qzxiyg4rfeay1h,Carl McHugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa, 
