id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,,teamName,Position
2775636237,1,34,16,0,0,ajwqetklk0m22x7ifsjax5yi,1,0,0,2025-02-13T13:05:50.962Z,2025-02-13T13:05:51Z,5512252399,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5512252401,194,3vdeg67iuouaj5rfdrnh14h5h,5512252393,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5512252397,130,2,5512252395,59,"32, 77, 23, 14, 4, 3, 7, 8, 9, 10, 11, 6, 12, 15, 17, 18, 20, 21, 24, 33",5512252391,30,"5jtd252do025958pgqkigc0d1, 1ilh1vogo8mggj0vhf2oknswk, a1rjrfrukdqfztu8c9l88wduc, ex1jk22ckbwg721ie0azus2c5, 14w76iqim5kly2adzwc9n6wgl, banlw3aybtscei2n206mlzf85, 31g5m4lerjmoykobyt8cckxxx, 3i9ye7yfz4j9bhbi8gco7mjca, 88x8tqxamao1dzdfz5libluui, 3vdeg67iuouaj5rfdrnh14h5h, 11een7yuvw4psjhjuakk75clw, 9vjotu14gqx0jhgrs12qwkezt, c3a0lyz3sn54rehi0tk1pba39, 2z2u1jd91uyccw2pn5qoiti0a, e2kge0d4o0jg6ndxsq0tm0x9m, 3e4twzsgwcxza9739q17gn4h6, 7q0oc78bzao7g3iy7zoobmy1, 27ep4aadiffsck8usuolvc416, 7ci9hj1m4rzmmu0cvyk2iy0ru, b8l2ubkujj1lhnld7k97qa2qy",5512252403,197,21428,5512252405,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2775636337,1,34,16,0,0,7xo09xnh3y03lyai6azr77fo0,1,0,0,2025-02-13T13:06:36.253Z,2025-02-13T13:06:36Z,5512252991,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5512252987,59,"1, 22, 77, 6, 12, 4, 19, 13, 11, 10, 14, 2, 3, 16, 17, 23, 26, 29, 32, 50",5512252983,30,"f1tuc3g6x0bvykbf3l6kckhnu, 27cg2gd6m8m4cw75j37dquxud, 31a4sn8saxhfnh57j7c1yy2ac, cmipqs8kvp9fztc1ekgzlwogl, dq2edinn9zcsx9ztdmkw33l61, awmnvgz0piarvn8o7b7zk57f9, 5g8572gxi73ztuk13kttx9b84, 6vak9npg73k6di2oagxg8ttgq, e41kyipdxjy3gkni3idz31mac, xm1pai2cllklkwkgpb7n5mmt, 8dzeq723volchfye1smryolt6, dpg6dskbwuf9die5imz7z1y7e, 6ariy9j4fdbyhn54pldheaz56, 6gu13e7x453t0lhnmz1gfr2tw, 989i9o2rat334wwkdlqssejh0, 8e7tqocxsueniln7rzsy2l46i, 7hdjglam5w0880u4mqxs4onsa, 1gvtrxfn3vt9ddiextvtjicd0, 1ctlomg9lmbz9y86xgonquvsa, 4mzaycg26owpa7i0etvntogh6",5512252989,130,8,5512252993,194,awmnvgz0piarvn8o7b7zk57f9,5512252997,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5512252985,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5512252995,197,21982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2775641999,2,32,1,0,0,ajwqetklk0m22x7ifsjax5yi,1,0,0,2025-02-13T14:00:23.392Z,2025-02-13T14:00:26Z,5512286465,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2775641991,2,32,1,0,0,7xo09xnh3y03lyai6azr77fo0,1,0,0,2025-02-13T14:00:23.392Z,2025-02-13T14:00:23Z,5512286447,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2775642017,3,1,1,0,0,ajwqetklk0m22x7ifsjax5yi,1,50.3,50.1,2025-02-13T14:00:23.393Z,2025-02-13T14:00:27Z,5512286547,140,27.1,5512286551,212,24.4,5512286549,141,51.2,5512286545,56,Back,5512286553,213,3.11,5512286555,279,S,,,,,,,3vdeg67iuouaj5rfdrnh14h5h,Javi Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2775642023,4,1,1,0,3,ajwqetklk0m22x7ifsjax5yi,0,27.1,50.4,2025-02-13T14:00:27.297Z,2025-02-13T14:00:27Z,5512286579,212,1.5,5512286577,141,51,5512286573,140,28.5,5512286569,157,,5512286585,1,,5512286571,56,Back,5512286583,213,0.27,,,,14w76iqim5kly2adzwc9n6wgl,Pratik Chaudhari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2775642031,3,61,1,0,6,7xo09xnh3y03lyai6azr77fo0,1,54.9,56.6,2025-02-13T14:00:29.898Z,2025-02-13T14:52:23Z,5512286619,56,Center,,,,,,,,,,,,,,,,,,,,,,6vak9npg73k6di2oagxg8ttgq,Mayakkannan Muthu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2775642039,5,1,1,0,7,ajwqetklk0m22x7ifsjax5yi,1,24.9,58.8,2025-02-13T14:00:30.840Z,2025-02-13T14:00:32Z,5512286661,56,Back,5512286665,141,52.4,5512286669,213,5.56,5512286667,212,6.6,5512286663,140,29.6,,,,,,,,,,banlw3aybtscei2n206mlzf85,Lazar Ćirković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2775642047,6,1,1,0,8,ajwqetklk0m22x7ifsjax5yi,1,32.6,52.8,2025-02-13T14:00:31.959Z,2025-02-13T14:00:33Z,5512286707,141,41,5512286703,56,Back,5512286709,212,12.4,5512286705,140,23.6,5512286711,213,3.85,,,,,,,,,,ex1jk22ckbwg721ie0azus2c5,Pronay Halder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2775642059,7,1,1,0,10,ajwqetklk0m22x7ifsjax5yi,0,21.3,37.1,2025-02-13T14:00:33.463Z,2025-02-13T16:00:20Z,5512286805,1,,5512286803,213,0.65,5512286795,56,Left,5512286799,141,81.7,5512286793,157,,5512286797,140,59.1,5512286801,212,50,,,,1ilh1vogo8mggj0vhf2oknswk,Nikhil Barla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
