id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,,qualifier/15/value,teamName,Position
2776200041,1,34,16,0,0,1kqb5u8em0tj1k40607w2vtl4,1,0,0,5515393197,30,"a9gquocdgtb8bpk99a5a110mi, evpkruwe8cis1pfkujwfwr9hx, bepdz3gbb2rxeuae2lt159g16, 8s6nlre415t2uxinzkx3w0xlg, ajkkf12dn8livsb196zp7w0d1, 9o2dyl3cbm2ni3874doydh49h, 87ij2wepxhp3jdsgylz99c8dm, e5pgescmpgtyk96b07mpicsq2, dkk86y8pa3svtz43c0m55qn6x, 83rpxksxq3qq7vxslur4ge5sl, 3macevv6d8kk7a3na4b3zh2j8, 5sifbrmwnzisvbvutlcx25v1m, a5hmrpq6qy5ac6ir7hd4fajxm, 18du6lik5pot8uofj1s1n0nl6, amlbv42tcsqmxktheidr23sru, co1a0flew05hmeteg442x7vmd, dej3o41jgebei5deqs5m5fris, 5phslvtihgvzghwa9dqmqtune, h8166wj7jjqddgelgyf61nu1, auhy9ipee9aqnksz1ons6et49",5515393203,130,2,5515393199,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5515393201,59,"13, 20, 23, 22, 5, 3, 7, 37, 10, 9, 19, 1, 6, 8, 21, 27, 47, 70, 71, 88",5515393209,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5515393205,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5515393207,194,9o2dyl3cbm2ni3874doydh49h,5515450083,197,18550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776200967,1,34,16,0,0,8uacz8yrceknwsreon4rb5i8o,1,0,0,5515397613,130,8,5515397609,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5515397617,194,2b4zbxnmjo1fd9gntr3zgn4yd,5515397607,30,"eu9kw6jcgneygerxqlfj00r11, 1i4qgopfzsr2xyfs93kjtcvai, 8js8a2yz6jly94vf0ilyg76s4, 99p8q4t09iq7scfgt0bkrmlpm, 5ku3ut12bd65rq9qoobyv2jh0, 3znwt67r5j8mghoi2wm9urris, bwiqj25qbrcc2xhc8faqb44wl, 1csytueiqmph9zm2p58ww333e, 2hsgcgekgsls87pbwwz9a3q39, 2b4zbxnmjo1fd9gntr3zgn4yd, cqwjl27qlms7fxa3edgkvpr6d, 3hyx5x335jn5udim2a132nt2h, dc8zct96hw1uct3arbrq408b8, d0b9bmoy2tfpyra3bra95rdhw, fekzw1l7xz97js7ns7ag2mfo, 61omz2augmafukhx5q6zydw8a, ciydd242v6efvzsqd2hxqvwus, 9w7vzklkn51n608f2md2ds3kk, 1uvpqxrzxnjfb790p5t1mjztg, 2n6c8ciuley3hz0fnt6gn4zpx",5515397615,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5515397619,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5515397611,59,"1, 12, 27, 23, 14, 4, 10, 6, 20, 24, 7, 16, 25, 26, 29, 31, 35, 77, 78, 99",5515449875,197,21302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776212927,2,32,1,0,0,8uacz8yrceknwsreon4rb5i8o,1,0,0,5515457615,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776212931,2,32,1,0,0,1kqb5u8em0tj1k40607w2vtl4,1,0,0,5515457631,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776212959,3,1,1,0,0,1kqb5u8em0tj1k40607w2vtl4,1,50,50,5515457803,141,46.1,5515457799,56,Back,5515457807,213,3.26,5515457805,212,22.5,5515457809,279,S,5515457801,140,28.7,,,,,,,bepdz3gbb2rxeuae2lt159g16,Vignesh Dakshinamurthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776212975,4,1,1,0,5,1kqb5u8em0tj1k40607w2vtl4,1,28.3,46.1,5515457857,56,Left,5515457855,155,,5515457859,140,70.3,5515457867,213,0.53,5515457861,141,84.5,5515457869,1,,5515457865,212,51.3,,,,ajkkf12dn8livsb196zp7w0d1,Elsinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776212977,5,44,1,0,6,1kqb5u8em0tj1k40607w2vtl4,1,74,89.9,5515457881,233,3,5515457875,56,Left,5515457877,286,,,,,,,,,,,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776212967,3,44,1,0,6,8uacz8yrceknwsreon4rb5i8o,0,26,10.1,5515457837,56,Back,5515457839,285,,5515457885,233,5,,,,,,,,,,,,,,,,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776212983,6,1,1,0,8,1kqb5u8em0tj1k40607w2vtl4,0,70.3,84.5,5515457925,212,10.4,5515457921,140,75.7,5515457927,213,5.29,5515457917,3,,5515457923,141,71.7,5515457919,56,Center,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776212987,4,49,1,0,9,8uacz8yrceknwsreon4rb5i8o,1,18.4,24,,,,,,,,,,,,,,,,,,,,,,,,,1csytueiqmph9zm2p58ww333e,Ricky Shabong,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
