id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,assist,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,teamName,Position
2777174801,1,34,16,0,0,335mseh7gazfrf4eu6w9htw6i,1,0,0,5520553435,194,51kwsfsllwjzbvbuibze1ilg4,5520553431,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5520553437,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5520553425,59,"1, 24, 34, 21, 5, 69, 44, 10, 15, 9, 29, 8, 18, 19, 22, 27, 55, 62, 66, 89",5520692757,197,9918,5520553417,30,"36coytybrizxbjsnpc0y4ojro, f3gutlzxtzt5bxtrjdgb0inai, 51kwsfsllwjzbvbuibze1ilg4, 111rps7bzz2212jh5g8io7xn8, 6fuk4mojob40kspt4k6vntbhm, 5rd9832gct7uy0acodmor8b11, b9o23q2u9ehavlom8bb7op42d, e6r1r5ggsgbdnudnn5muc4mw9, cnea18p2z4830dwkn0kcp9pii, evsrix4aokl5o7dlx9zc41h49, b521uf2wepooe470000o6pvmy, 6vhnh2pt7o4wcxltwru4zwtwq, el2g322b4azy0qbi5jtqqpkic, 8biopg2xct41y90c99xuavze, 8mvj2wqfdt16tj8vn162q0fvu, 9nutzryit2qkee5y0vbphvi3u, 81yjtiietpc6hcgvw3i5jm49g, 91mwp1kgik3ffr2wdcebd6kgk, 4gjr8cf8v850lhgj32xh1vvh0, c3o7pp0cqispnqebrz2odiqz8",5520553427,130,4,5520553419,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777179129,1,34,16,0,0,28au628w8n2jhgujuwh3y5d8k,1,0,0,5520577375,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5520577371,59,"13, 12, 22, 23, 44, 4, 11, 29, 28, 9, 82, 3, 14, 21, 24, 59, 61, 62, 84, 88",5520577377,194,37a8scojsvio37fatx5zxih91,5520577379,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5520577367,30,"d18hxamo4wksojpx0f2zjy63u, 369ef7pxl6ckbg088w9zi36ne, 5brj4wwxu99bicq7xhzs6zvmx, 37a8scojsvio37fatx5zxih91, 2hi6y8so55eic1ukr0jy88a1h, 6bgcubncyevstsj12znvexbhm, 2haf9lri7plf00nrxt5fsyzmx, dgiqagc8iygqc0a1f3gj03q0a, 8bz6754ot1g7gd2k90qfqnuy2, yuw4a34cpasw5e4vqsg6ex1x, 7i3zwc7zfo75m8xu49e4faqz8, eeires5yhj68qhrd20r15s8dm, a46nb8nifruibgamjyq2tb4ve, 5yau328orkeysj2rs0wyms73d, 1hqbyv7h0jhjjf1xlwrhdh1w5, 9kgfwdalg9yisv9t7a03zu38, djd741lwm8uxrlpzdci5fz4t0, dgkvf99kbk5z3bzkod29egm50, 1ai400ynp7h18m2abw15lbnro, irrbg32cem9i7s93x1u4m39w",5520577369,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5520693183,197,13642,5520577373,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
2777205317,2,32,1,0,0,335mseh7gazfrf4eu6w9htw6i,1,0,0,5520714485,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777205309,2,32,1,0,0,28au628w8n2jhgujuwh3y5d8k,1,0,0,5520714449,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
2777205325,3,1,1,0,0,335mseh7gazfrf4eu6w9htw6i,1,50.2,50.1,5520714523,56,Back,5520714533,279,S,5520714531,213,2.97,5520714525,140,41.4,5520714529,212,9.4,5520714527,141,52.4,,,,,,,cnea18p2z4830dwkn0kcp9pii,Manvir Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777205403,4,1,1,0,3,335mseh7gazfrf4eu6w9htw6i,1,40.3,50.4,5520714903,212,31.7,5520714899,140,23.4,5520714905,213,4.12,5520714897,56,Back,5520714901,141,11.8,,,,,,,,,,111rps7bzz2212jh5g8io7xn8,Lalrinfela Khiangte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777205465,5,1,1,0,6,335mseh7gazfrf4eu6w9htw6i,1,27.7,15.7,5520715193,213,2.11,5520715185,56,Back,5520715189,141,30.1,5520715191,212,11.4,5520715187,140,22.1,,,,,,,,,,f3gutlzxtzt5bxtrjdgb0inai,Joe Zoherliana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777205525,6,1,1,0,11,335mseh7gazfrf4eu6w9htw6i,1,27.9,45.8,5520715529,213,1.79,5520715517,140,24.1,5520715521,141,71.7,5520715525,212,18.1,5520715513,56,Back,,,,,,,,,,6fuk4mojob40kspt4k6vntbhm,Gaurav Bora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777205541,7,1,1,0,15,335mseh7gazfrf4eu6w9htw6i,1,25.3,66.6,5520715639,212,26.2,5520715637,141,29.9,5520715641,213,5.02,5520715635,140,32.8,5520715633,56,Back,,,,,,,,,,5rd9832gct7uy0acodmor8b11,Florent Ogier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777205581,8,1,1,0,16,335mseh7gazfrf4eu6w9htw6i,1,32.8,30.1,5520715891,56,Back,5520715897,212,25.9,5520715899,213,2.6,5520715895,141,49.7,5520715893,140,11.7,,,,,,,,,,f3gutlzxtzt5bxtrjdgb0inai,Joe Zoherliana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
