id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/13/value,assist,teamName,Position
2778531963,1,34,16,0,0,335mseh7gazfrf4eu6w9htw6i,1,0,0,5528084315,197,21383,5528061661,30,"36coytybrizxbjsnpc0y4ojro, 9j7ldugih7jluatsnjb1jcgd1, 51kwsfsllwjzbvbuibze1ilg4, 111rps7bzz2212jh5g8io7xn8, 5rd9832gct7uy0acodmor8b11, f3gutlzxtzt5bxtrjdgb0inai, evsrix4aokl5o7dlx9zc41h49, akimhgnr5qxmokkeq1c3k8p2h, b521uf2wepooe470000o6pvmy, c3o7pp0cqispnqebrz2odiqz8, e6r1r5ggsgbdnudnn5muc4mw9, 6fuk4mojob40kspt4k6vntbhm, 6vhnh2pt7o4wcxltwru4zwtwq, cnea18p2z4830dwkn0kcp9pii, el2g322b4azy0qbi5jtqqpkic, 8biopg2xct41y90c99xuavze, 9nutzryit2qkee5y0vbphvi3u, b9o23q2u9ehavlom8bb7op42d, 91mwp1kgik3ffr2wdcebd6kgk, 4gjr8cf8v850lhgj32xh1vvh0",5528061671,194,9j7ldugih7jluatsnjb1jcgd1,5528061669,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5528061667,130,2,5528061663,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5528061665,59,"1, 14, 34, 21, 69, 24, 9, 16, 29, 89, 10, 5, 8, 15, 18, 19, 27, 44, 62, 66",5528061673,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778531991,1,34,16,0,0,ajwqetklk0m22x7ifsjax5yi,1,0,0,5528062009,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5528062007,194,3vdeg67iuouaj5rfdrnh14h5h,5528084257,197,7288,5528062005,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5528062003,130,2,5528061997,30,"5jtd252do025958pgqkigc0d1, 7ci9hj1m4rzmmu0cvyk2iy0ru, a1rjrfrukdqfztu8c9l88wduc, 7q0oc78bzao7g3iy7zoobmy1, 14w76iqim5kly2adzwc9n6wgl, 9vjotu14gqx0jhgrs12qwkezt, 31g5m4lerjmoykobyt8cckxxx, 3vdeg67iuouaj5rfdrnh14h5h, 88x8tqxamao1dzdfz5libluui, e2kge0d4o0jg6ndxsq0tm0x9m, 3e4twzsgwcxza9739q17gn4h6, banlw3aybtscei2n206mlzf85, iydj3zcyzjgguy8iwmitdp05, 3i9ye7yfz4j9bhbi8gco7mjca, 11een7yuvw4psjhjuakk75clw, 851tv9v6www1lbd2eeehwbrx0, ex1jk22ckbwg721ie0azus2c5, 2z2u1jd91uyccw2pn5qoiti0a, b8l2ubkujj1lhnld7k97qa2qy, 1ilh1vogo8mggj0vhf2oknswk",5528061999,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5528062001,59,"32, 24, 23, 20, 4, 6, 7, 10, 9, 17, 18, 3, 5, 8, 11, 13, 14, 15, 33, 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
2778535819,2,32,1,0,0,335mseh7gazfrf4eu6w9htw6i,1,0,0,5528087027,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778535821,2,32,1,0,0,ajwqetklk0m22x7ifsjax5yi,1,0,0,5528087031,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
2778535823,3,1,1,0,0,ajwqetklk0m22x7ifsjax5yi,1,50.1,49.9,5528087045,279,S,5528087043,213,3.28,5528087035,56,Back,5528087039,141,46.1,5528087037,140,32.6,5528087041,212,18.6,,,,,,,3vdeg67iuouaj5rfdrnh14h5h,Javi Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
2778535829,4,1,1,0,4,ajwqetklk0m22x7ifsjax5yi,1,29,45.7,5528087101,213,0.44,5528087099,212,50.7,5528087097,141,77.6,5528087093,56,Center,5528087095,140,72.6,5528087103,1,,5528087091,157,,,,,14w76iqim5kly2adzwc9n6wgl,Pratik Chaudhari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
2778535833,5,44,1,0,7,ajwqetklk0m22x7ifsjax5yi,1,71.6,72.3,5528087119,56,Center,5528087145,233,3,5528087121,286,,,,,,,,,,,,,,,,,e2kge0d4o0jg6ndxsq0tm0x9m,Jordan Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
2778535839,3,44,1,0,7,335mseh7gazfrf4eu6w9htw6i,0,28.4,27.7,5528087143,285,,5528087141,56,Back,5528087149,233,5,,,,,,,,,,,,,,,,akimhgnr5qxmokkeq1c3k8p2h,Mohammed Irshad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778535835,6,1,1,0,7,ajwqetklk0m22x7ifsjax5yi,0,68.7,76.9,5528087129,140,70.1,5528087127,56,Center,5528087133,212,1.7,5528087125,168,,5528087135,213,0.51,5528087123,3,,5528087131,141,78.1,,,,e2kge0d4o0jg6ndxsq0tm0x9m,Jordan Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
2778536537,99,61,1,0,8,335mseh7gazfrf4eu6w9htw6i,1,31,22.7,5528091723,56,Back,,,,,,,,,,,,,,,,,,,,,,akimhgnr5qxmokkeq1c3k8p2h,Mohammed Irshad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
