id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/9/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,teamName,Position
2778699831,1,34,16,0,0,7xo09xnh3y03lyai6azr77fo0,1,0,0,5529033419,194,awmnvgz0piarvn8o7b7zk57f9,5529033423,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5529033421,197,21981,5529033415,130,4,5529033413,59,"1, 22, 77, 13, 12, 4, 26, 15, 10, 19, 14, 2, 3, 11, 16, 18, 23, 32, 50, 66",5529033411,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5529033417,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5529033409,30,"f1tuc3g6x0bvykbf3l6kckhnu, 27cg2gd6m8m4cw75j37dquxud, 31a4sn8saxhfnh57j7c1yy2ac, 6vak9npg73k6di2oagxg8ttgq, dq2edinn9zcsx9ztdmkw33l61, awmnvgz0piarvn8o7b7zk57f9, 7hdjglam5w0880u4mqxs4onsa, dq03xoo08fyces9h371x0ce1g, xm1pai2cllklkwkgpb7n5mmt, 5g8572gxi73ztuk13kttx9b84, 8dzeq723volchfye1smryolt6, dpg6dskbwuf9die5imz7z1y7e, 6ariy9j4fdbyhn54pldheaz56, e41kyipdxjy3gkni3idz31mac, 6gu13e7x453t0lhnmz1gfr2tw, d2ouk806csxbamwjbwlxwi92i, 8e7tqocxsueniln7rzsy2l46i, 1ctlomg9lmbz9y86xgonquvsa, 4mzaycg26owpa7i0etvntogh6, 7dk01033d48fq1jplo9jlw2l0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778699859,1,34,16,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,5529033587,130,4,5529033593,197,21469,5529033591,194,99cjmvx4xlyzhyf6wxlvisb11,5529033581,30,"pf04royfgavano96z7n7x3v9, 3sy4rxdzl4u9e5kkvygxu9x7u, eisspzerdcz21ukznum5q30bu, c8xdtls9ueivjll19yvp5wq1h, duxnzil70n1147w8ob8ooxo89, 183r263z06eesonzbta557ys5, jtmpumg28emowvrre2ujqtw5, de6woepvuggpm1z2cwz1nbmne, 7wpltjujzubkwy1k57jzcwafp, cufgsqfkltgeb7ak2uan2dqdx, 99cjmvx4xlyzhyf6wxlvisb11, et5ztuwgv6uaiste9nxba9h3p, 52hvmgmgja56sqj0zga4tvk5x, deyx0zxr2303hh3cru8l88u1g, acgw28v8r6pzwuin89f1sah1x, c22j2xs6nnyho3hixmh0txo9g, 7gknnojch0zpa9cryvymfzcru, 7vwq6tjwae82epsh6kll9phm2, 73ri99nts1mnwmuqoriohi50, daflma7990pzvp9o2ebnzi1as",5529033583,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5529033585,59,"28, 32, 12, 18, 4, 2, 10, 8, 17, 7, 11, 1, 5, 9, 19, 23, 24, 25, 29, 31",5529033595,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5529033589,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778704757,2,32,1,0,0,7xo09xnh3y03lyai6azr77fo0,1,0,0,5529061905,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778704759,2,32,1,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,5529061907,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778704761,3,1,1,0,0,7xo09xnh3y03lyai6azr77fo0,1,50.2,49.9,5529061915,141,40.6,5529061921,279,S,5529061919,213,3.54,5529061917,212,16.4,5529061911,56,Back,5529061913,140,35.8,,,,,,,7hdjglam5w0880u4mqxs4onsa,Konsam Phalguni Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778704763,4,1,1,0,3,7xo09xnh3y03lyai6azr77fo0,1,36.1,41.9,5529061931,140,33.7,5529061933,141,74.2,5529061929,56,Back,5529061937,213,1.69,5529061935,212,22.1,,,,,,,,,,6vak9npg73k6di2oagxg8ttgq,Muthu Mayakkannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778704765,5,1,1,0,4,7xo09xnh3y03lyai6azr77fo0,1,34.7,78.8,5529061951,213,1.06,5529061943,56,Back,5529061947,141,94.4,5529061949,212,12.2,5529061945,140,40.4,,,,,,,,,,awmnvgz0piarvn8o7b7zk57f9,Míchel Zabaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778704767,6,1,1,0,6,7xo09xnh3y03lyai6azr77fo0,1,41.5,89.4,5529061967,213,4.62,5529061965,212,18.6,5529061961,140,39.8,5529061959,56,Back,5529061963,141,62.1,,,,,,,,,,31a4sn8saxhfnh57j7c1yy2ac,Buanthanglun Samte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778704775,7,1,1,0,9,7xo09xnh3y03lyai6azr77fo0,1,38.6,61.2,5529062021,141,49,5529062023,212,12.7,5529062019,140,29.4,5529062017,56,Back,5529062025,213,3.85,,,,,,,,,,6vak9npg73k6di2oagxg8ttgq,Muthu Mayakkannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778704777,8,1,1,0,16,7xo09xnh3y03lyai6azr77fo0,0,29.9,32.5,5529062041,212,74.4,5529062037,140,84.8,5529062043,213,0.68,5529062033,196,,5529062031,155,,5529062035,56,Left,5529062039,141,100,5529062045,1,,dq2edinn9zcsx9ztdmkw33l61,Asheer Akhtar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778704793,3,5,1,0,19,12ksg0e6d70senzilsic40fzl,1,16.6,-1.4,5529062133,347,,5529062131,56,Back,5529062135,233,9,,,,,,,,,,,,,,,,183r263z06eesonzbta557ys5,Rahul Bheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778704779,9,5,1,0,19,7xo09xnh3y03lyai6azr77fo0,0,83.4,101.4,5529062047,56,Left,5529062049,347,,5529062139,233,3,,,,,,,,,,,,,,,,dq2edinn9zcsx9ztdmkw33l61,Asheer Akhtar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778704795,4,1,1,0,35,12ksg0e6d70senzilsic40fzl,0,20,0,5529062143,107,,5529062153,213,0.11,5529062151,212,21.8,5529062147,140,40.6,5529062149,141,2.5,5529062145,56,Back,5529062155,1,,,,,3sy4rxdzl4u9e5kkvygxu9x7u,Roshan Singh Naorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778704803,10,1,1,0,38,7xo09xnh3y03lyai6azr77fo0,1,57.6,91.7,5529062181,212,21.1,5529062183,213,5.81,5529062179,141,77.5,5529062175,56,Center,5529062173,157,,5529062185,1,,5529062177,140,75.5,,,,31a4sn8saxhfnh57j7c1yy2ac,Buanthanglun Samte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778704809,11,1,1,0,39,7xo09xnh3y03lyai6azr77fo0,1,76,77,5529062219,141,83.6,5529062223,213,2.28,5529062221,212,5.9,5529062215,56,Left,5529062217,140,72.3,,,,,,,,,,xm1pai2cllklkwkgpb7n5mmt,Néstor Albiach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778704815,12,49,1,0,41,7xo09xnh3y03lyai6azr77fo0,1,71.2,83.9,,,,,,,,,,,,,,,,,,,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778704825,13,1,1,0,41,7xo09xnh3y03lyai6azr77fo0,1,72.3,85.7,5529062293,56,Left,5529062297,141,92.9,5529062299,212,12,5529062301,213,0.42,5529062295,140,82.7,,,,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778704831,14,1,1,0,45,7xo09xnh3y03lyai6azr77fo0,0,93.6,88.6,5529062327,141,57.5,5529062319,2,,5529062321,155,,5529062323,56,Center,5529062325,140,93,5529062331,213,4.68,5529062329,212,21.2,,,,8dzeq723volchfye1smryolt6,Alaeddine Ajaraie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778704847,5,12,1,0,49,12ksg0e6d70senzilsic40fzl,1,7.3,43.8,5529062547,15,,5529062415,212,2.7,5529062411,140,9.7,5529062413,141,45.2,5529062409,56,Back,5529062417,213,0.36,,,,,,,183r263z06eesonzbta557ys5,Rahul Bheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778704849,6,4,1,0,52,12ksg0e6d70senzilsic40fzl,1,8.4,47,5529062587,152,,5529062597,233,15,5529062581,10,,5529062583,56,Back,5529062589,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778704843,15,4,1,0,52,7xo09xnh3y03lyai6azr77fo0,0,91.6,53,5529062437,152,,5529062435,56,Center,5529062433,10,,5529062603,233,6,5529062439,286,,,,,,,,,,,xm1pai2cllklkwkgpb7n5mmt,Néstor Albiach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778704883,7,1,1,1,16,12ksg0e6d70senzilsic40fzl,1,10.1,43,5529062721,212,17.3,5529062715,56,Back,5529062723,213,0.94,5529062719,141,63.6,5529062717,140,19.8,5529062711,5,,5529062713,152,,,,,pf04royfgavano96z7n7x3v9,Lalthuammawia Ralte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,Goalkeeper
2778704889,8,1,1,1,19,12ksg0e6d70senzilsic40fzl,1,20.3,63.9,5529062779,140,37,5529062781,141,95.1,5529062783,212,27.5,5529062785,213,0.88,5529062777,56,Back,,,,,,,,,,duxnzil70n1147w8ob8ooxo89,Chinglensana Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778704895,9,1,1,1,23,12ksg0e6d70senzilsic40fzl,0,38.6,93.6,5529062825,141,72,5529062829,213,5.9,5529062831,1,,5529062819,155,,5529062827,212,39.1,5529062823,140,73.1,5529062821,56,Center,,,,eisspzerdcz21ukznum5q30bu,Mohammed Salah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778704903,16,12,1,1,25,7xo09xnh3y03lyai6azr77fo0,1,23.8,22.5,5529062875,15,,5529062869,141,26.5,5529062865,56,Back,5529062867,140,42.9,5529062871,212,20.2,5529062873,213,0.13,,,,,,,dq2edinn9zcsx9ztdmkw33l61,Asheer Akhtar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
