id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,teamName,Position
2779088235,1,34,16,0,0,8uacz8yrceknwsreon4rb5i8o,1,0,0,5531163411,197,13977,5531165053,194,5hi3s09qsxkuv8l5nw8d8qqj9,5531163407,130,8,5531163409,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5531163413,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5531163405,59,"1, 12, 31, 6, 74, 33, 7, 23, 20, 10, 29, 14, 25, 26, 30, 35, 44, 77, 78, 99",5531163399,30,"eu9kw6jcgneygerxqlfj00r11, 1i4qgopfzsr2xyfs93kjtcvai, 61omz2augmafukhx5q6zydw8a, 1csytueiqmph9zm2p58ww333e, 11xl1jtpjn674dw6yxfv33pey, 5hi3s09qsxkuv8l5nw8d8qqj9, cqwjl27qlms7fxa3edgkvpr6d, 99p8q4t09iq7scfgt0bkrmlpm, 2hsgcgekgsls87pbwwz9a3q39, bwiqj25qbrcc2xhc8faqb44wl, fekzw1l7xz97js7ns7ag2mfo, 5ku3ut12bd65rq9qoobyv2jh0, dc8zct96hw1uct3arbrq408b8, d0b9bmoy2tfpyra3bra95rdhw, 1w5gsyg7y2tdm86v2oqg3l34k, ciydd242v6efvzsqd2hxqvwus, 8d6mz56ogl5wo02hgq3qp3ip6, 9w7vzklkn51n608f2md2ds3kk, 1uvpqxrzxnjfb790p5t1mjztg, 2n6c8ciuley3hz0fnt6gn4zpx",5531163403,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779089035,1,34,16,0,0,28au628w8n2jhgujuwh3y5d8k,1,0,0,5531167677,59,"13, 12, 5, 23, 44, 4, 29, 21, 9, 28, 82, 3, 6, 14, 22, 24, 59, 62, 85, 88",5531167679,130,2,5531167683,194,5yau328orkeysj2rs0wyms73d,5531167675,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5531167685,197,7231,5531167673,30,"d18hxamo4wksojpx0f2zjy63u, 369ef7pxl6ckbg088w9zi36ne, 5ygjbmzm0l7t0bgv55bvthlyi, 37a8scojsvio37fatx5zxih91, 2hi6y8so55eic1ukr0jy88a1h, 6bgcubncyevstsj12znvexbhm, dgiqagc8iygqc0a1f3gj03q0a, 5yau328orkeysj2rs0wyms73d, yuw4a34cpasw5e4vqsg6ex1x, 8bz6754ot1g7gd2k90qfqnuy2, 7i3zwc7zfo75m8xu49e4faqz8, eeires5yhj68qhrd20r15s8dm, b9kf9cu52au3odus91nzktc2y, a46nb8nifruibgamjyq2tb4ve, 5brj4wwxu99bicq7xhzs6zvmx, 1hqbyv7h0jhjjf1xlwrhdh1w5, 9kgfwdalg9yisv9t7a03zu38, dgkvf99kbk5z3bzkod29egm50, 5v3uwywml338auid2883s5990, irrbg32cem9i7s93x1u4m39w",5531167681,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5531167687,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779101471,2,32,1,0,0,28au628w8n2jhgujuwh3y5d8k,1,0,0,5531236993,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779101465,2,32,1,0,0,8uacz8yrceknwsreon4rb5i8o,1,0,0,5531236965,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779101481,3,1,1,0,0,28au628w8n2jhgujuwh3y5d8k,1,50.2,50,5531237057,213,3.03,5531237059,279,S,5531237055,212,20.1,5531237053,141,53.4,5531237049,56,Back,5531237051,140,31.2,,,,,,,yuw4a34cpasw5e4vqsg6ex1x,Dimitrios Diamantakos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779101491,4,1,1,0,3,28au628w8n2jhgujuwh3y5d8k,0,31.4,53.4,5531237161,141,65.5,5531237163,212,35.2,5531237165,213,0.24,5531237155,155,,5531237157,56,Center,5531237167,1,,5531237159,140,64,,,,6bgcubncyevstsj12znvexbhm,Anwar Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779101501,3,1,1,0,6,8uacz8yrceknwsreon4rb5i8o,0,34.3,27.1,5531237233,1,,5531237223,56,Back,5531237221,157,,5531237231,213,5.37,5531237225,140,48.9,5531237229,212,25,5531237227,141,0,,,,1csytueiqmph9zm2p58ww333e,Ricky Shabong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779101507,4,5,1,0,7,8uacz8yrceknwsreon4rb5i8o,0,50.6,-1.7,5531237393,233,5,5531237257,56,Right,5531237259,347,,,,,,,,,,,,,,,,,1csytueiqmph9zm2p58ww333e,Ricky Shabong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779101535,5,5,1,0,7,28au628w8n2jhgujuwh3y5d8k,1,49.4,101.7,5531237379,56,Back,5531237381,347,,5531237389,233,4,,,,,,,,,,,,,,,,6bgcubncyevstsj12znvexbhm,Anwar Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779101547,6,1,1,0,16,28au628w8n2jhgujuwh3y5d8k,1,46.6,100,5531237477,140,28.7,5531237479,141,94.4,5531237475,56,Back,5531237483,213,3.38,5531237473,107,,5531237481,212,19.3,,,,,,,5ygjbmzm0l7t0bgv55bvthlyi,Lalchungnunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
