id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,assist,teamName,Position
2779155447,1,34,16,0,0,5yvw8xpbzap5lhlze04odtgk4,1,0,0,5531518785,59,"31, 27, 50, 13, 94, 15, 97, 8, 9, 25, 10, 2, 3, 5, 6, 14, 19, 21, 26, 32",5531518793,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5531518783,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5531518781,30,"ezqz8zz3azusaew3tmf7f96mt, 58kclnrwfszhkvtfexyctsn3d, arzfyvstbc17d1mioc40tidm2, 3an8bc2nxiodsw6rbcgji1ilm, bcjkyeu4gtghgy9khmmob9g45, 6r8f0lomojaqk37bz5ajprze1, dy0x2kt0h4e6fahxns2k5t2c4, ap6n4q8c3c5cj9ilb8bxcy9sk, 93o28ydbvwtnx57fivsejpi0a, 5arf4f4k8om3ux3rryhincxzo, 23m69s7nd9vnc9u9ra2aspn11, eraojginbnda524w48mv1i4us, 11i7jwqw21v1kzwndjlk7zzdh, 8bl29rr9klystwdyvhokwv0us, e26d5q10exurstp1jj47u67mc, bmdl4tqssmqzrgn8n5ldwcavo, ccrqgyzzq44gpjva980k10gt0, 30vv3ayo58dx1eln576s87p0q, 5fbvdc1bd5b3ukg3232sqn1pm, 7y02iu0muqn3ye1vuirp0vpck",5531518791,194,23m69s7nd9vnc9u9ra2aspn11,5531518789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5531804361,197,27499,5531518787,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779156547,1,34,16,0,0,9eqjks8amwm1ycytsoi7xld25,1,0,0,5531524925,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5531524919,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5531524917,30,"ekizuw6hg7uyaojwjusby1jbo, dl5tnk2o8rwiacgbsnldojsdm, 9dp54x2ylvg08u109thcf7dux, 5hligrqwpc6qzxiyg4rfeay1h, cs6a7dp9ot01jwplqj2xmxrrp, qlk46xybcoxrvr01pauxibpx, a6ys5uqsrmmeorj6f8ogoxbvu, 9d8lhd93zoyekfcypi15zt7je, 827uzczm286djuyq5m1jykr85, 57fizz3ad5m2w0qz8v6xeazmd, d5adi48nrkr3n0dqoitcdzu95, b3khxum0vaam8qme2imlwhh3p, e7dhnqiwnz4k433yqu7sb13e2, j8o05z2drw3xbcgcwk7g04wl, 2133i1f3tem0bpoxw0naq3sgl, 8aa6rgjs6vqeqnt8f5dsu9l2h, 8ea7iywugl9n7ntz3uu251ih, cpodiheplpmn42lw8l2fdrjtg, e2j3eitceuxqxf4lj5yjfccno, 2vxh7pu3vudg8uz0ieozae4us",5531524923,130,8,5531815437,197,18537,5531524921,59,"55, 17, 27, 4, 16, 3, 10, 14, 34, 8, 21, 9, 13, 15, 18, 20, 30, 41, 42, 99",5531524929,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5531524927,194,cs6a7dp9ot01jwplqj2xmxrrp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2779216159,2,32,1,0,0,5yvw8xpbzap5lhlze04odtgk4,1,0,0,5531840233,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779216149,2,32,1,0,0,9eqjks8amwm1ycytsoi7xld25,1,0,0,5531840137,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2779216253,3,1,1,0,0,9eqjks8amwm1ycytsoi7xld25,1,50.1,50,5531840763,56,Back,5531840767,141,46.3,5531840769,212,33.8,5531840765,140,18,5531840775,279,S,5531840773,1,,5531840771,213,3.22,,,,827uzczm286djuyq5m1jykr85,Iker Guarrotxena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2779216321,4,1,1,0,8,9eqjks8amwm1ycytsoi7xld25,0,19.7,46.1,5531841181,212,54.2,5531841183,213,0.6,5531841167,157,,5531841179,141,91.1,5531841177,140,62.3,5531841185,1,,5531841173,56,Left,,,,ekizuw6hg7uyaojwjusby1jbo,Hrithik Tiwari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,Goalkeeper
2779216303,3,44,1,0,12,5yvw8xpbzap5lhlze04odtgk4,1,35.2,12.1,5531841079,285,,5531841077,56,Back,5531841231,233,5,,,,,,,,,,,,,,,,58kclnrwfszhkvtfexyctsn3d,Aibanbha Dohling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779216325,5,44,1,0,12,9eqjks8amwm1ycytsoi7xld25,0,64.8,87.9,5531841193,286,,5531841191,56,Left,5531841263,233,3,,,,,,,,,,,,,,,,d5adi48nrkr3n0dqoitcdzu95,Kumam Udanta Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2779216315,4,1,1,0,12,5yvw8xpbzap5lhlze04odtgk4,0,32.3,11.9,5531841131,212,9.1,5531841133,213,4.98,5531841123,3,,5531841125,56,Back,5531841129,141,0,5531841127,140,34.6,,,,,,,58kclnrwfszhkvtfexyctsn3d,Aibanbha Dohling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779216317,5,5,1,0,13,5yvw8xpbzap5lhlze04odtgk4,0,35.4,-1.2,5531841141,347,,5531841527,233,6,5531841139,56,Back,,,,,,,,,,,,,,,,58kclnrwfszhkvtfexyctsn3d,Aibanbha Dohling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
