id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,teamName,Position
2780074029,1,34,16,0,0,9xb6v8osxty9w0mel2x7dd4ru,1,0,0,2025-02-23T13:14:41.148Z,2025-02-23T14:02:08Z,5536412523,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536591081,197,9596,5536412517,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5536412515,30,"dwb1qzzd5g32lwxam6skmdr6x, ck9nyxv100c1x24zxde7fx1t6, 825wa3surm6iii587l4ekx7mx, doiw2drickz2eacyeudn3szmy, 3zl5ec82f8zebkxkfdz16e3th, 5hmx68vjqij9ywdv61v2qyrmy, 1cclqc2tw3zav2if1cqij7ofe, 95zechkfla1l7dwt8sjhevvca, 31v9w4cyk1fxlig452kuc65ed, 1rsxl4rnswqez6c6rwp7768r9, 4sqnd13g7n9e4orv6hcp27fxm, 1yu4qt00czfbr5myr0cidwmw9, ar6epfwqqob8wx8tra17jxkgl, 1ljdpwqn16dijby5ss9eockfe, 1qthfdkbz92jucy9vpqimltec, 5u8pjzdgzsnrait021jvk3sdm, 7aqvamg9e8tr7fqzh7jobdel0, cdd3to4e3ac0d61iy3vtp6pzo, 4l0se1iapxcmd1jb4851aj6c5, 6oq9kpqxuh76it0pra7t5mcmi",5536412527,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536412525,194,825wa3surm6iii587l4ekx7mx,5536412521,130,8,5536412519,59,"1, 44, 15, 22, 5, 21, 11, 45, 29, 10, 17, 6, 9, 12, 16, 19, 31, 32, 35, 63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2780074747,1,34,16,0,0,8oyl91pb7l6qgk6dryn129td0,1,0,0,2025-02-23T13:15:34.560Z,2025-02-23T14:08:10Z,5536416177,30,"45zhftlkjapjpvrjakvygh0id, 4txuu306n3k2355exjbzsh016, 27av1jg9xtwnlxkhuulj6wh5, bz6b3uw54ljimdh7ch96adotl, 57h3oir0n9l0qgmkhkr98so2d, 3o6qyrudwaezf9kvlsivgqh1x, ca0i658kl9fbf3gsk41068222, 1b2pb9lykqu8nc7726vlnq1g5, 1gjtz6kvr1pwi82mo5fsppck5, esu2vqnkc4fl5bsimwcnnkjfu, 9u2k71y69b7z2tdt999k5p08a, 9l8vaec7mvzysdpvj7a5ahuga, bwq72t9wmhuvzkkdybq3a1jvt, aami0demfxod55od4ktkhzn55, d3ookmcknbcdlc3kvhqao1ujt, dcpek2xqxjaqe76cfsk0g8yjt, b28q0soyohb6jbz7t4qvh66ay, crds0jtjib3s98hiw7hyotmac, 7600m3vnturhvkuav6a3so1lg, 38ycrrnrhmg9d6pc1h5bdnv2s",5536416189,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536416181,59,"1, 25, 18, 7, 15, 5, 24, 8, 90, 77, 19, 3, 4, 6, 11, 17, 23, 29, 33, 39",5536416187,194,45zhftlkjapjpvrjakvygh0id,5536416185,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536591525,197,22970,5536416179,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5536416183,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odisha FC,
2780112111,2,32,1,0,0,9xb6v8osxty9w0mel2x7dd4ru,1,0,0,2025-02-23T14:00:24.344Z,2025-02-23T14:00:24Z,5536615491,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2780112109,2,32,1,0,0,8oyl91pb7l6qgk6dryn129td0,1,0,0,2025-02-23T14:00:24.344Z,2025-02-23T14:00:26Z,5536615463,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odisha FC,
2780112115,3,1,1,0,0,8oyl91pb7l6qgk6dryn129td0,1,50.1,50.3,2025-02-23T14:00:24.353Z,2025-02-23T14:00:29Z,5536615529,213,3.14,5536615531,279,S,5536615523,140,34.4,5536615525,141,50.3,5536615527,212,16.5,5536615521,56,Back,,,,,,,1b2pb9lykqu8nc7726vlnq1g5,Hugo Boumous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odisha FC,
2780112159,4,1,1,0,4,8oyl91pb7l6qgk6dryn129td0,1,34.7,51.6,2025-02-23T14:00:28.951Z,2025-02-23T14:15:18Z,5536615779,212,16.5,5536615781,213,6.16,5536615775,140,50.3,5536615777,141,48.5,5536615773,56,Center,,,,,,,,,,ca0i658kl9fbf3gsk41068222,Thoiba Moirangthem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odisha FC,
2780112189,5,1,1,0,5,8oyl91pb7l6qgk6dryn129td0,1,48.9,47.5,2025-02-23T14:00:29.784Z,2025-02-23T14:15:23Z,5536615937,140,52.5,5536615935,56,Center,5536701547,156,,5536615941,212,11.8,5536615943,213,5.04,5536615939,141,31,,,,,,,1b2pb9lykqu8nc7726vlnq1g5,Hugo Boumous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odisha FC,
2780112193,6,3,1,0,6,8oyl91pb7l6qgk6dryn129td0,0,59,31.4,2025-02-23T14:00:30.551Z,2025-02-23T14:19:30Z,5536615961,286,,5536616037,233,3,5536615959,56,Center,,,,,,,,,,,,,,,,bz6b3uw54ljimdh7ch96adotl,Puitea (Lalthathanga Khawlhring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odisha FC,
2780112175,3,7,1,0,6,9xb6v8osxty9w0mel2x7dd4ru,0,41,68.6,2025-02-23T14:00:30.552Z,2025-02-23T14:19:29Z,5536616011,233,6,5536615851,285,,5536615849,56,Back,,,,,,,,,,,,,,,,4sqnd13g7n9e4orv6hcp27fxm,Liston Colaço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2780112219,4,44,1,0,7,9xb6v8osxty9w0mel2x7dd4ru,1,38.1,45.6,2025-02-23T14:00:32.272Z,2025-02-23T14:13:59Z,5536616117,233,7,5536616087,285,,5536616085,56,Back,,,,,,,,,,,,,,,,95zechkfla1l7dwt8sjhevvca,Apuia Ralte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
