id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,teamName,Position
2780906975,1,34,16,0,0,1kqb5u8em0tj1k40607w2vtl4,1,0,0,5540977185,197,3123,5540977187,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5540977177,59,"13, 20, 23, 22, 5, 3, 71, 37, 10, 9, 19, 1, 4, 6, 7, 21, 27, 47, 70, 8",5540977179,130,2,5540977175,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5540977181,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5540977183,194,9o2dyl3cbm2ni3874doydh49h,5540977173,30,"a9gquocdgtb8bpk99a5a110mi, evpkruwe8cis1pfkujwfwr9hx, bepdz3gbb2rxeuae2lt159g16, 8s6nlre415t2uxinzkx3w0xlg, ajkkf12dn8livsb196zp7w0d1, 9o2dyl3cbm2ni3874doydh49h, h8166wj7jjqddgelgyf61nu1, e5pgescmpgtyk96b07mpicsq2, dkk86y8pa3svtz43c0m55qn6x, 83rpxksxq3qq7vxslur4ge5sl, 3macevv6d8kk7a3na4b3zh2j8, 5sifbrmwnzisvbvutlcx25v1m, 9h25nvm0qom316k8qamw5zh1w, a5hmrpq6qy5ac6ir7hd4fajxm, 87ij2wepxhp3jdsgylz99c8dm, amlbv42tcsqmxktheidr23sru, co1a0flew05hmeteg442x7vmd, dej3o41jgebei5deqs5m5fris, 5phslvtihgvzghwa9dqmqtune, 18du6lik5pot8uofj1s1n0nl6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780907079,1,34,16,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,5540977695,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5540977691,194,183r263z06eesonzbta557ys5,5540977683,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5540977693,197,21469,5540977679,30,"et5ztuwgv6uaiste9nxba9h3p, 7vwq6tjwae82epsh6kll9phm2, 3sy4rxdzl4u9e5kkvygxu9x7u, c22j2xs6nnyho3hixmh0txo9g, duxnzil70n1147w8ob8ooxo89, 183r263z06eesonzbta557ys5, jtmpumg28emowvrre2ujqtw5, de6woepvuggpm1z2cwz1nbmne, 7wpltjujzubkwy1k57jzcwafp, cufgsqfkltgeb7ak2uan2dqdx, deyx0zxr2303hh3cru8l88u1g, 52hvmgmgja56sqj0zga4tvk5x, 99cjmvx4xlyzhyf6wxlvisb11, c8xdtls9ueivjll19yvp5wq1h, acgw28v8r6pzwuin89f1sah1x, cqtsv8o9c603won64dpi3x2j8, 7gknnojch0zpa9cryvymfzcru, 3syfp9ndbs7t5vgj21a02gcno, 73ri99nts1mnwmuqoriohi50, daflma7990pzvp9o2ebnzi1as",5540977687,130,4,5540977689,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5540977685,59,"1, 25, 32, 23, 4, 2, 10, 8, 17, 7, 9, 5, 11, 18, 19, 22, 24, 26, 29, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780920679,2,32,1,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,5541052881,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780920681,2,32,1,0,0,1kqb5u8em0tj1k40607w2vtl4,1,0,0,5541052887,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780920691,3,1,1,0,0,12ksg0e6d70senzilsic40fzl,1,50.5,49.9,5541052925,140,37.1,5541052931,213,3.21,5541052927,141,48.4,5541052929,212,14.1,5541052923,56,Back,5541052935,279,S,,,,,,,7wpltjujzubkwy1k57jzcwafp,Édgar Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780920695,4,1,1,0,3,12ksg0e6d70senzilsic40fzl,1,35.8,48.7,5541052961,213,6.2,5541052955,140,49.3,5541052953,56,Back,5541052959,212,14.2,5541052957,141,46.9,,,,,,,,,,c22j2xs6nnyho3hixmh0txo9g,Lalremtluanga Fanai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780920699,5,1,1,0,3,12ksg0e6d70senzilsic40fzl,1,49.3,46.9,5541052983,213,4.29,5541052981,212,8.7,5541052975,56,Back,5541052979,141,35.2,5541052977,140,45.9,,,,,,,,,,7wpltjujzubkwy1k57jzcwafp,Édgar Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780920703,6,49,1,0,5,12ksg0e6d70senzilsic40fzl,1,45.9,35.2,,,,,,,,,,,,,,,,,,,,,,,,,jtmpumg28emowvrre2ujqtw5,Alberto Noguera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780920711,7,1,1,0,6,12ksg0e6d70senzilsic40fzl,1,45.7,35.8,5541053031,141,46.9,5541053027,56,Center,5541053029,140,68,5541053035,213,0.31,5541053033,212,24.6,,,,,,,,,,jtmpumg28emowvrre2ujqtw5,Alberto Noguera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780920715,8,1,1,0,7,12ksg0e6d70senzilsic40fzl,1,68,46.9,5541053045,140,59.5,5541053049,212,10,5541053047,141,40.3,5541053043,56,Center,5541053051,213,3.61,,,,,,,,,,7wpltjujzubkwy1k57jzcwafp,Édgar Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780920713,3,83,1,0,9,1kqb5u8em0tj1k40607w2vtl4,0,38.8,60,5541054119,399,jtmpumg28emowvrre2ujqtw5,,,,,,,,,,,,,,,,,,,,,,8s6nlre415t2uxinzkx3w0xlg,Lalrinliana Hnamte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780920717,9,61,1,0,10,12ksg0e6d70senzilsic40fzl,1,59.3,43.6,5541053055,56,Center,,,,,,,,,,,,,,,,,,,,,,jtmpumg28emowvrre2ujqtw5,Alberto Noguera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780920725,10,1,1,0,15,12ksg0e6d70senzilsic40fzl,1,34.8,65.4,5541053103,140,29.6,5541053109,213,4.38,5541053107,212,16.5,5541053105,141,42.5,5541053101,56,Back,,,,,,,,,,c22j2xs6nnyho3hixmh0txo9g,Lalremtluanga Fanai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780920741,11,1,1,0,17,12ksg0e6d70senzilsic40fzl,1,31.1,40.9,5541053213,141,67.5,5541053209,56,Back,5541053211,140,32.1,5541053215,212,18.1,5541053217,213,1.51,,,,,,,,,,duxnzil70n1147w8ob8ooxo89,Chinglensana Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780920749,12,1,1,0,21,12ksg0e6d70senzilsic40fzl,1,39,67.3,5541053263,140,57.4,5541053261,56,Left,5541053265,141,89.1,5541053269,213,0.65,5541053267,212,24.4,,,,,,,,,,183r263z06eesonzbta557ys5,Rahul Bheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780920759,13,1,1,0,24,12ksg0e6d70senzilsic40fzl,0,59.3,84.1,5541053309,56,Left,5541053311,140,74.3,5541053315,141,93.2,5541053317,212,16.9,5541053321,213,0.37,,,,,,,,,,de6woepvuggpm1z2cwz1nbmne,Suresh Singh Wangjam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780920765,4,8,1,0,25,1kqb5u8em0tj1k40607w2vtl4,1,40.3,15.5,5541053341,56,Back,,,,,,,,,,,,,,,,,,,,,,h8166wj7jjqddgelgyf61nu1,Farukh Choudhary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780920769,5,49,1,0,26,1kqb5u8em0tj1k40607w2vtl4,1,40.7,13,,,,,,,,,,,,,,,,,,,,,,,,,h8166wj7jjqddgelgyf61nu1,Farukh Choudhary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780920805,6,1,1,0,34,1kqb5u8em0tj1k40607w2vtl4,1,85,16.6,5541053539,141,66.2,5541053537,140,88.6,5541053545,1,,5541053535,56,Center,5541053531,2,,5541053541,212,33.9,5541053533,155,,5541053543,213,1.46,h8166wj7jjqddgelgyf61nu1,Farukh Choudhary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780936107,333,44,1,0,37,1kqb5u8em0tj1k40607w2vtl4,1,88.9,59.4,5541140409,233,417,5541140311,56,Center,5541140313,286,,,,,,,,,,,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780936121,417,44,1,0,38,12ksg0e6d70senzilsic40fzl,0,11.1,40.6,5541140397,56,Back,5541140399,285,,5541140415,233,333,,,,,,,,,,,,,,,,7vwq6tjwae82epsh6kll9phm2,Namgyal Bhutia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780936445,418,12,1,0,39,12ksg0e6d70senzilsic40fzl,1,9.7,49.1,5541142231,140,40.8,5541142229,56,Back,5541142237,213,6.23,5541142233,141,46.4,5541142235,212,32.7,,,,,,,,,,c22j2xs6nnyho3hixmh0txo9g,Lalremtluanga Fanai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780920807,7,61,1,0,39,1kqb5u8em0tj1k40607w2vtl4,0,88.2,67.4,5541053549,56,Center,,,,,,,,,,,,,,,,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780920817,8,1,1,0,40,1kqb5u8em0tj1k40607w2vtl4,1,68.9,66.6,5541053605,140,56.1,5541053611,213,2.32,5541053609,212,19.8,5541053607,141,87.9,5541053603,56,Left,,,,,,,,,,e5pgescmpgtyk96b07mpicsq2,Jiteshwor Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780920821,9,1,1,0,44,1kqb5u8em0tj1k40607w2vtl4,1,60.5,88.2,5541053661,141,93.5,5541053665,213,0.44,5541053657,56,Left,5541053659,140,67.7,5541053663,212,8.4,,,,,,,,,,bepdz3gbb2rxeuae2lt159g16,Vignesh Dakshinamurthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780920827,10,1,1,0,47,1kqb5u8em0tj1k40607w2vtl4,1,63.4,87.6,5541053681,212,10.3,5541053675,56,Left,5541053677,140,54.7,5541053679,141,94.7,5541053683,213,2.66,,,,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780920831,11,1,1,0,49,1kqb5u8em0tj1k40607w2vtl4,1,54.7,94.7,5541053715,213,0.1,5541053707,56,Left,5541053709,140,61,5541053711,141,95.7,5541053713,212,6.6,,,,,,,,,,bepdz3gbb2rxeuae2lt159g16,Vignesh Dakshinamurthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
