id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,teamName,Position
2781472273,1,34,16,0,0,8uacz8yrceknwsreon4rb5i8o,1,0,0,5544136055,30,"1uvpqxrzxnjfb790p5t1mjztg, 1i4qgopfzsr2xyfs93kjtcvai, 8js8a2yz6jly94vf0ilyg76s4, 99p8q4t09iq7scfgt0bkrmlpm, 11xl1jtpjn674dw6yxfv33pey, 5hi3s09qsxkuv8l5nw8d8qqj9, cqwjl27qlms7fxa3edgkvpr6d, 3znwt67r5j8mghoi2wm9urris, 2n6c8ciuley3hz0fnt6gn4zpx, 1csytueiqmph9zm2p58ww333e, fekzw1l7xz97js7ns7ag2mfo, eu9kw6jcgneygerxqlfj00r11, 2hsgcgekgsls87pbwwz9a3q39, dc8zct96hw1uct3arbrq408b8, 1w5gsyg7y2tdm86v2oqg3l34k, 61omz2augmafukhx5q6zydw8a, ciydd242v6efvzsqd2hxqvwus, 8d6mz56ogl5wo02hgq3qp3ip6, 696x33mjrjyh5szfidw8gd444, 9w7vzklkn51n608f2md2ds3kk",5544136067,197,13977,5544136063,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5544136069,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5544136059,59,"78, 12, 27, 23, 74, 33, 7, 4, 99, 6, 29, 1, 20, 25, 30, 31, 35, 44, 45, 77",5544136065,194,2n6c8ciuley3hz0fnt6gn4zpx,5544136057,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5544136061,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2781472321,1,34,16,0,0,9eqjks8amwm1ycytsoi7xld25,1,0,0,5544136389,194,cs6a7dp9ot01jwplqj2xmxrrp,5544136393,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5544136383,59,"55, 21, 27, 4, 16, 3, 10, 14, 9, 26, 42, 8, 13, 15, 18, 20, 30, 41, 44, 99",5544136387,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5544136379,30,"ekizuw6hg7uyaojwjusby1jbo, d5adi48nrkr3n0dqoitcdzu95, 9dp54x2ylvg08u109thcf7dux, 5hligrqwpc6qzxiyg4rfeay1h, cs6a7dp9ot01jwplqj2xmxrrp, qlk46xybcoxrvr01pauxibpx, a6ys5uqsrmmeorj6f8ogoxbvu, 9d8lhd93zoyekfcypi15zt7je, b3khxum0vaam8qme2imlwhh3p, cjlcl3qpjqrsnouucxg7xpuqd, e2j3eitceuxqxf4lj5yjfccno, 57fizz3ad5m2w0qz8v6xeazmd, e7dhnqiwnz4k433yqu7sb13e2, j8o05z2drw3xbcgcwk7g04wl, 2133i1f3tem0bpoxw0naq3sgl, 8aa6rgjs6vqeqnt8f5dsu9l2h, 8ea7iywugl9n7ntz3uu251ih, cpodiheplpmn42lw8l2fdrjtg, bpjhf7w833sd77s9phx8bpvdg, 2vxh7pu3vudg8uz0ieozae4us",5544136381,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5544136385,130,8,5544136391,197,3090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781479841,2,32,1,0,0,8uacz8yrceknwsreon4rb5i8o,1,0,0,5544179409,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2781479835,2,32,1,0,0,9eqjks8amwm1ycytsoi7xld25,1,0,0,5544179379,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781479885,3,1,1,0,0,9eqjks8amwm1ycytsoi7xld25,1,50.3,50.3,5544179515,56,Back,5544179525,279,S,5544179521,212,30.7,5544179523,213,3.16,5544179519,141,49.6,5544179517,140,21.1,,,,,,,b3khxum0vaam8qme2imlwhh3p,Armando Sadiku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781479891,4,1,1,0,5,9eqjks8amwm1ycytsoi7xld25,0,23.8,49.9,5544179561,56,Left,5544179565,141,82.7,5544179571,1,,5544179559,157,,5544179569,213,0.5,5544179567,212,46.4,5544179563,140,62.5,,,,ekizuw6hg7uyaojwjusby1jbo,Hrithik Tiwari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,Goalkeeper
2781479915,3,1,1,0,8,8uacz8yrceknwsreon4rb5i8o,1,38.6,27,5544179717,56,Back,5544179719,140,31.6,5544179723,212,14,5544179725,213,2.12,5544179721,141,44.5,5544179715,3,,,,,,,,cqwjl27qlms7fxa3edgkvpr6d,Asmir Suljić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2781479921,4,1,1,0,10,8uacz8yrceknwsreon4rb5i8o,0,31.6,44.3,5544179763,141,36.4,5544179767,213,5.76,5544179765,212,10.7,5544179761,140,40.4,5544179757,3,,5544179759,56,Back,,,,,,,99p8q4t09iq7scfgt0bkrmlpm,Ashish Pradhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2781479927,5,1,1,0,12,9eqjks8amwm1ycytsoi7xld25,1,56.9,69,5544179789,3,,5544179793,140,73.7,5544179797,212,18,5544179799,213,0.19,5544179791,56,Center,5544179795,141,74.1,,,,,,,5hligrqwpc6qzxiyg4rfeay1h,Carl McHugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781479933,6,1,1,0,13,9eqjks8amwm1ycytsoi7xld25,0,73.7,74.1,5544179827,3,,5544179833,141,60.8,5544179837,212,9.4,5544179839,213,4.44,5544179831,140,71.3,5544179829,56,Center,,,,,,,b3khxum0vaam8qme2imlwhh3p,Armando Sadiku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
