id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,teamName,Position
2781961923,1,34,16,0,0,1oyc8wvt31xlmocyg7euv40bo,1,0,0,2025-03-01T10:49:07.714Z,2025-03-01T10:49:08Z,5546854517,194,4caacpozfluk9p6ljrkzzo8o9,5546854521,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5546854515,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5546854519,197,20562,5546854509,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5546854507,30,"911ma7mry52gxar14xb0wrkkp, 8uo53q5n2lt81faxntpfsj0q2, 46imbd3n5ksawlc59rxd6ymwa, 6n6x88fmmeybwkr6nt8djmac5, dh1cktmvz3s0ynf3gv6u6hy39, 8jagdiyhimgmuz0ku5mm1266t, 8ivkc4eqlrtucjitvl8fcgu6t, 7t90qi8vml1rdscbbwy0wbuuh, 4caacpozfluk9p6ljrkzzo8o9, 8hst6awgd2m3z7kxj0bjoj4oa, uuh0y713rzg940ai1bjs08ut, cam37rgi4c0zyddtt7vwwubbp, 380ubomb76m0img8g2dfwx7mx, 6wycqyl2ra8kyopmew3thk3ys, 63q26pto3aa8n25y7d0n9baw9, jewe7em2j8u4bw7xxbucebbp, 4m8kav4ahgvl1j1ie9x7hn1lh, ds9i23kxqerve1nqc9l2vlsk, 2c5ua7pkk2ty91mbbyghs3w9g, ewsvhfqhdx59yl2ui9wkxwez9",5546854513,130,4,5546854511,59,"1, 3, 36, 8, 13, 4, 21, 10, 7, 6, 29, 9, 11, 16, 18, 20, 23, 27, 28, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2781962383,1,34,16,0,0,9xb6v8osxty9w0mel2x7dd4ru,1,0,0,2025-03-01T10:51:34.776Z,2025-03-01T11:36:25Z,5546857211,130,8,5546857213,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5546857209,59,"1, 63, 15, 22, 5, 32, 11, 16, 29, 9, 17, 6, 10, 12, 19, 21, 33, 44, 45, 72",5546857205,30,"dwb1qzzd5g32lwxam6skmdr6x, 6oq9kpqxuh76it0pra7t5mcmi, 825wa3surm6iii587l4ekx7mx, doiw2drickz2eacyeudn3szmy, 3zl5ec82f8zebkxkfdz16e3th, cdd3to4e3ac0d61iy3vtp6pzo, 1cclqc2tw3zav2if1cqij7ofe, 1qthfdkbz92jucy9vpqimltec, 31v9w4cyk1fxlig452kuc65ed, ar6epfwqqob8wx8tra17jxkgl, 4sqnd13g7n9e4orv6hcp27fxm, 1yu4qt00czfbr5myr0cidwmw9, 1rsxl4rnswqez6c6rwp7768r9, 1ljdpwqn16dijby5ss9eockfe, 5u8pjzdgzsnrait021jvk3sdm, 5hmx68vjqij9ywdv61v2qyrmy, egeh2m78a06wklvu46mhvlo89, ck9nyxv100c1x24zxde7fx1t6, 95zechkfla1l7dwt8sjhevvca, f4jhjhj5vfp8fp67m7a89di50",5546857207,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5546857217,197,9596,5546857215,194,825wa3surm6iii587l4ekx7mx,5546857219,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2781971485,2,32,1,0,0,1oyc8wvt31xlmocyg7euv40bo,1,0,0,2025-03-01T11:30:09.590Z,2025-03-01T11:30:11Z,5546906273,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2781971483,2,32,1,0,0,9xb6v8osxty9w0mel2x7dd4ru,1,0,0,2025-03-01T11:30:09.590Z,2025-03-01T11:30:09Z,5546906271,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2781971487,3,1,1,0,0,9xb6v8osxty9w0mel2x7dd4ru,1,49.9,50,2025-03-01T11:30:09.591Z,2025-03-01T12:28:50Z,5546906287,213,3.09,5546906289,279,S,5546906285,212,8.2,5546906283,141,50.6,5546906281,140,42.1,5546906291,278,,5546906279,56,Back,,,,31v9w4cyk1fxlig452kuc65ed,Jamie Maclaren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2781971497,4,1,1,0,2,9xb6v8osxty9w0mel2x7dd4ru,1,41.7,52.2,2025-03-01T11:30:11.905Z,2025-03-01T11:30:14Z,5546906327,56,Back,5546906333,212,30.4,5546906329,140,31,5546906331,141,93.8,5546906335,213,1.95,,,,,,,,,,ar6epfwqqob8wx8tra17jxkgl,Dimitri Petratos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2781971505,5,1,1,0,5,9xb6v8osxty9w0mel2x7dd4ru,1,31.5,92.4,2025-03-01T11:30:14.590Z,2025-03-01T11:39:51Z,5546906373,1,,5546906363,56,Back,5546906371,213,4.42,5546906365,140,22.5,5546906369,212,32.5,5546906367,141,46.6,,,,,,,825wa3surm6iii587l4ekx7mx,Subhasish Bose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2781971521,6,1,1,0,8,9xb6v8osxty9w0mel2x7dd4ru,1,24.5,37.6,2025-03-01T11:30:18.574Z,2025-03-01T11:39:54Z,5546906443,213,4.96,5546906441,212,16.9,5546906439,141,13.5,5546906435,56,Back,5546906437,140,28.5,,,,,,,,,,3zl5ec82f8zebkxkfdz16e3th,Tom Aldred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2781971525,7,1,1,0,12,9xb6v8osxty9w0mel2x7dd4ru,1,28.5,13.5,2025-03-01T11:30:22.110Z,2025-03-01T11:39:57Z,5546906489,56,Back,5546906497,213,2.08,5546906495,212,13.7,5546906491,140,22.1,5546906493,141,31,,,,,,,,,,6oq9kpqxuh76it0pra7t5mcmi,Saurabh Bhanwala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2781971533,8,1,1,0,15,9xb6v8osxty9w0mel2x7dd4ru,0,22.5,29.7,2025-03-01T11:30:25.343Z,2025-03-01T11:40:00Z,5546906555,213,6.24,5546906557,1,,5546906541,56,Center,5546906549,141,26.1,5546906545,140,77.2,5546906537,157,,5546906553,212,57.5,,,,3zl5ec82f8zebkxkfdz16e3th,Tom Aldred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
