id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,,teamName,Position
2782963945,1,34,16,0,0,28au628w8n2jhgujuwh3y5d8k,1,0,0,2025-03-02T13:15:25.404Z,2025-03-02T14:05:32Z,5552214639,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5552214635,194,5yau328orkeysj2rs0wyms73d,5552214627,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5552214625,30,"d18hxamo4wksojpx0f2zjy63u, 369ef7pxl6ckbg088w9zi36ne, eeires5yhj68qhrd20r15s8dm, 37a8scojsvio37fatx5zxih91, 2hi6y8so55eic1ukr0jy88a1h, 6bgcubncyevstsj12znvexbhm, dgiqagc8iygqc0a1f3gj03q0a, 5yau328orkeysj2rs0wyms73d, 8bz6754ot1g7gd2k90qfqnuy2, yuw4a34cpasw5e4vqsg6ex1x, 7i3zwc7zfo75m8xu49e4faqz8, b9kf9cu52au3odus91nzktc2y, 2sqyhih507ep3hv7iwg2gluc5, 9unf86es6w0zou5wb21qudryt, a46nb8nifruibgamjyq2tb4ve, 5brj4wwxu99bicq7xhzs6zvmx, 1hqbyv7h0jhjjf1xlwrhdh1w5, 9kgfwdalg9yisv9t7a03zu38, 1ai400ynp7h18m2abw15lbnro, irrbg32cem9i7s93x1u4m39w",5552214633,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5552214637,197,13642,5552214629,59,"13, 12, 3, 23, 44, 4, 29, 21, 28, 9, 82, 6, 7, 10, 14, 22, 24, 59, 84, 88",5552214631,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2782965887,1,34,16,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,2025-03-02T13:17:20.434Z,2025-03-02T13:57:36Z,5552224653,194,99cjmvx4xlyzhyf6wxlvisb11,5552224649,130,4,5552224657,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5552224651,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5552224645,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5552224647,59,"1, 25, 32, 23, 5, 4, 10, 8, 17, 7, 11, 9, 12, 18, 19, 22, 24, 26, 29, 31",5552431963,197,28018,5552224643,30,"et5ztuwgv6uaiste9nxba9h3p, 7vwq6tjwae82epsh6kll9phm2, 3sy4rxdzl4u9e5kkvygxu9x7u, c22j2xs6nnyho3hixmh0txo9g, 52hvmgmgja56sqj0zga4tvk5x, duxnzil70n1147w8ob8ooxo89, jtmpumg28emowvrre2ujqtw5, de6woepvuggpm1z2cwz1nbmne, 7wpltjujzubkwy1k57jzcwafp, cufgsqfkltgeb7ak2uan2dqdx, 99cjmvx4xlyzhyf6wxlvisb11, deyx0zxr2303hh3cru8l88u1g, eisspzerdcz21ukznum5q30bu, c8xdtls9ueivjll19yvp5wq1h, acgw28v8r6pzwuin89f1sah1x, cqtsv8o9c603won64dpi3x2j8, 7gknnojch0zpa9cryvymfzcru, 3syfp9ndbs7t5vgj21a02gcno, 73ri99nts1mnwmuqoriohi50, daflma7990pzvp9o2ebnzi1as",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2783007205,2,32,1,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,2025-03-02T14:00:19.127Z,2025-03-02T14:00:21Z,5552442887,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2783007191,2,32,1,0,0,28au628w8n2jhgujuwh3y5d8k,1,0,0,2025-03-02T14:00:19.127Z,2025-03-02T14:00:19Z,5552442835,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2783007259,3,1,1,0,0,28au628w8n2jhgujuwh3y5d8k,1,49.8,50,2025-03-02T14:00:19.128Z,2025-03-02T14:00:23Z,5552443131,56,Back,5552443145,279,S,5552443137,212,26.9,5552443133,140,24.4,5552443135,141,54.8,5552443141,213,3.02,,,,,,,yuw4a34cpasw5e4vqsg6ex1x,Dimitrios Diamantakos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2783007309,4,1,1,0,4,28au628w8n2jhgujuwh3y5d8k,0,26.4,60.2,2025-03-02T14:00:23.596Z,2025-03-02T14:00:27Z,5552443399,1,,5552443385,56,Center,5552443397,213,0.24,5552443389,141,76.6,5552443383,155,,5552443395,212,47.2,5552443387,140,70.1,,,,6bgcubncyevstsj12znvexbhm,Anwar Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2783007307,3,44,1,0,6,12ksg0e6d70senzilsic40fzl,1,31,18.3,2025-03-02T14:00:25.878Z,2025-03-02T14:59:35Z,5552443495,233,5,5552443371,285,,5552443369,56,Back,,,,,,,,,,,,,,,,7vwq6tjwae82epsh6kll9phm2,Namgyal Bhutia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2783007317,5,44,1,0,6,28au628w8n2jhgujuwh3y5d8k,0,69,81.7,2025-03-02T14:00:25.879Z,2025-03-02T14:59:36Z,5552443423,286,,5552443507,233,3,5552443421,56,Left,,,,,,,,,,,,,,,,7i3zwc7zfo75m8xu49e4faqz8,Vishnu P V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2783007327,4,1,1,0,6,12ksg0e6d70senzilsic40fzl,0,32.8,12.9,2025-03-02T14:00:26.018Z,2025-03-02T14:00:27Z,5552443457,56,Back,5552443465,213,4.97,5552443455,3,,5552443463,212,9.6,5552443461,141,0,5552443459,140,35.1,,,,,,,7vwq6tjwae82epsh6kll9phm2,Namgyal Bhutia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2783007331,5,5,1,0,8,12ksg0e6d70senzilsic40fzl,0,31.7,-1.1,2025-03-02T14:00:27.364Z,2025-03-02T14:59:21Z,5552443475,56,Back,5552443477,347,,5552444615,233,6,,,,,,,,,,,,,,,,7vwq6tjwae82epsh6kll9phm2,Namgyal Bhutia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
