id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,assist,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,teamName,Position
2783581019,1,34,16,0,0,7xo09xnh3y03lyai6azr77fo0,1,0,0,5555560919,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5555560911,30,"f1tuc3g6x0bvykbf3l6kckhnu, 27cg2gd6m8m4cw75j37dquxud, 31a4sn8saxhfnh57j7c1yy2ac, 6vak9npg73k6di2oagxg8ttgq, dpg6dskbwuf9die5imz7z1y7e, awmnvgz0piarvn8o7b7zk57f9, 5g8572gxi73ztuk13kttx9b84, cmipqs8kvp9fztc1ekgzlwogl, 8dzeq723volchfye1smryolt6, xm1pai2cllklkwkgpb7n5mmt, d2ouk806csxbamwjbwlxwi92i, 6ariy9j4fdbyhn54pldheaz56, 4mp7evwd4phlu496qsbworjrp, e41kyipdxjy3gkni3idz31mac, dq03xoo08fyces9h371x0ce1g, 989i9o2rat334wwkdlqssejh0, 8e7tqocxsueniln7rzsy2l46i, 7hdjglam5w0880u4mqxs4onsa, 1ctlomg9lmbz9y86xgonquvsa, 4mzaycg26owpa7i0etvntogh6",5555560915,59,"1, 22, 77, 13, 2, 4, 19, 6, 14, 10, 18, 3, 9, 11, 15, 17, 23, 26, 32, 50",5555560923,197,21982,5555560917,130,8,5555560913,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5555560925,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5555560921,194,awmnvgz0piarvn8o7b7zk57f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783581899,1,34,16,0,0,1kqb5u8em0tj1k40607w2vtl4,1,0,0,5555565833,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5555565827,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5555565829,59,"13, 6, 23, 37, 20, 3, 47, 5, 9, 10, 19, 1, 4, 8, 21, 27, 70, 71, 77, 88",5555565825,30,"a9gquocdgtb8bpk99a5a110mi, a5hmrpq6qy5ac6ir7hd4fajxm, bepdz3gbb2rxeuae2lt159g16, e5pgescmpgtyk96b07mpicsq2, evpkruwe8cis1pfkujwfwr9hx, 9o2dyl3cbm2ni3874doydh49h, dej3o41jgebei5deqs5m5fris, ajkkf12dn8livsb196zp7w0d1, 83rpxksxq3qq7vxslur4ge5sl, dkk86y8pa3svtz43c0m55qn6x, 3macevv6d8kk7a3na4b3zh2j8, 5sifbrmwnzisvbvutlcx25v1m, 9h25nvm0qom316k8qamw5zh1w, 18du6lik5pot8uofj1s1n0nl6, amlbv42tcsqmxktheidr23sru, co1a0flew05hmeteg442x7vmd, 5phslvtihgvzghwa9dqmqtune, h8166wj7jjqddgelgyf61nu1, af2pz7tnkibqwj9qoq6pnwm0a, auhy9ipee9aqnksz1ons6et49",5555565839,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5555565835,194,9o2dyl3cbm2ni3874doydh49h,5555565831,130,2,5555565837,197,18550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2783603537,2,32,1,0,0,1kqb5u8em0tj1k40607w2vtl4,1,0,0,5555688977,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2783603539,3,32,1,0,0,7xo09xnh3y03lyai6azr77fo0,1,0,0,5555688983,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783603581,3,1,1,0,0,1kqb5u8em0tj1k40607w2vtl4,1,50.1,50,5555689177,212,18.5,5555689179,213,3.33,5555689175,141,44.8,5555689171,56,Back,5555689181,279,S,5555689173,140,32.8,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2783603595,4,1,1,0,4,1kqb5u8em0tj1k40607w2vtl4,1,32.7,45.2,5555689251,213,1.58,5555689247,141,70.9,5555689243,56,Back,5555689249,212,17.5,5555689245,140,32.5,,,,,,,,,,evpkruwe8cis1pfkujwfwr9hx,Pritam Kotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2783603611,5,1,1,0,6,1kqb5u8em0tj1k40607w2vtl4,1,32.5,70.9,5555689327,213,0.99,5555689325,212,13,5555689321,140,39.3,5555689319,56,Back,5555689323,141,86.9,,,,,,,,,,9o2dyl3cbm2ni3874doydh49h,Ryan Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2783603639,6,1,1,0,8,1kqb5u8em0tj1k40607w2vtl4,1,39.6,88.3,5555689455,213,5.74,5555689451,141,77.8,5555689453,212,13.8,5555689447,56,Center,5555689449,140,50.8,,,,,,,,,,bepdz3gbb2rxeuae2lt159g16,Vignesh Dakshinamurthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2783603643,7,61,1,0,10,1kqb5u8em0tj1k40607w2vtl4,0,52.1,78.1,5555689471,56,Center,,,,,,,,,,,,,,,,,,,,,,ajkkf12dn8livsb196zp7w0d1,Elsinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2783603629,4,49,1,0,11,7xo09xnh3y03lyai6azr77fo0,1,43.2,26.7,,,,,,,,,,,,,,,,,,,,,,,,,xm1pai2cllklkwkgpb7n5mmt,Néstor Albiach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
