id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,assist,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,,qualifier/18/value,teamName,Position
2784261679,1,34,16,0,0,ajwqetklk0m22x7ifsjax5yi,1,0,0,2025-03-05T13:07:47.086Z,2025-03-05T13:07:47Z,5559409185,130,2,5559409183,59,"32, 77, 23, 14, 4, 6, 7, 10, 17, 9, 18, 3, 5, 8, 11, 13, 15, 20, 21, 33",5559409193,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5559409189,194,3vdeg67iuouaj5rfdrnh14h5h,5559409187,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5559409179,30,"5jtd252do025958pgqkigc0d1, 1ilh1vogo8mggj0vhf2oknswk, a1rjrfrukdqfztu8c9l88wduc, ex1jk22ckbwg721ie0azus2c5, 14w76iqim5kly2adzwc9n6wgl, 9vjotu14gqx0jhgrs12qwkezt, 31g5m4lerjmoykobyt8cckxxx, 3vdeg67iuouaj5rfdrnh14h5h, e2kge0d4o0jg6ndxsq0tm0x9m, 88x8tqxamao1dzdfz5libluui, 3e4twzsgwcxza9739q17gn4h6, banlw3aybtscei2n206mlzf85, iydj3zcyzjgguy8iwmitdp05, 3i9ye7yfz4j9bhbi8gco7mjca, 11een7yuvw4psjhjuakk75clw, 851tv9v6www1lbd2eeehwbrx0, 2z2u1jd91uyccw2pn5qoiti0a, 7q0oc78bzao7g3iy7zoobmy1, 27ep4aadiffsck8usuolvc416, b8l2ubkujj1lhnld7k97qa2qy",5559409181,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5559409191,197,21428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2784262423,1,34,16,0,0,8oyl91pb7l6qgk6dryn129td0,1,0,0,2025-03-05T13:10:51.776Z,2025-03-05T13:10:51Z,5559413413,197,21980,5559413403,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5559413407,130,4,5559413409,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5559413415,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5559413405,59,"1, 25, 28, 8, 24, 5, 6, 11, 90, 77, 19, 3, 4, 9, 17, 18, 23, 29, 33, 39",5559413411,194,45zhftlkjapjpvrjakvygh0id,5559413401,30,"45zhftlkjapjpvrjakvygh0id, 4txuu306n3k2355exjbzsh016, 7qr0rn01vbv68lwaa39m806sq, 1b2pb9lykqu8nc7726vlnq1g5, ca0i658kl9fbf3gsk41068222, 3o6qyrudwaezf9kvlsivgqh1x, aami0demfxod55od4ktkhzn55, d3ookmcknbcdlc3kvhqao1ujt, 1gjtz6kvr1pwi82mo5fsppck5, esu2vqnkc4fl5bsimwcnnkjfu, 9u2k71y69b7z2tdt999k5p08a, 9l8vaec7mvzysdpvj7a5ahuga, bwq72t9wmhuvzkkdybq3a1jvt, 8q67x4nr3ccsvkr3p5xstwvkl, dcpek2xqxjaqe76cfsk0g8yjt, 27av1jg9xtwnlxkhuulj6wh5, b28q0soyohb6jbz7t4qvh66ay, crds0jtjib3s98hiw7hyotmac, 7600m3vnturhvkuav6a3so1lg, 38ycrrnrhmg9d6pc1h5bdnv2s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odisha FC,
2784276307,2,32,1,0,0,ajwqetklk0m22x7ifsjax5yi,1,0,0,2025-03-05T14:00:15.543Z,2025-03-05T14:00:15Z,5559491223,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2784276323,2,32,1,0,0,8oyl91pb7l6qgk6dryn129td0,1,0,0,2025-03-05T14:00:15.543Z,2025-03-05T14:00:19Z,5559491277,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odisha FC,
2784276337,3,1,1,0,0,ajwqetklk0m22x7ifsjax5yi,1,50,50,2025-03-05T14:00:15.544Z,2025-03-05T14:00:24Z,5559491341,141,39.7,5559491345,213,3.48,5559491343,212,21.1,5559491339,140,31,5559491337,56,Back,5559491347,279,S,,,,,,,88x8tqxamao1dzdfz5libluui,Javi Siverio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2784276347,4,1,1,0,8,ajwqetklk0m22x7ifsjax5yi,0,32.9,39.5,2025-03-05T14:00:24.103Z,2025-03-05T14:00:25Z,5559491395,56,Center,5559491405,1,,5559491399,141,69,5559491401,212,62.9,5559491397,140,89.7,5559491393,155,,5559491403,213,0.32,,,,3vdeg67iuouaj5rfdrnh14h5h,Javi Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2784276363,3,12,1,0,11,8oyl91pb7l6qgk6dryn129td0,1,22.5,27,2025-03-05T14:00:26.860Z,2025-03-05T14:00:31Z,5559491443,212,29.1,5559491437,56,Back,5559491441,141,44.5,5559491439,140,47.8,5559491445,213,0.42,,,,,,,,,,ca0i658kl9fbf3gsk41068222,Thoiba Moirangthem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odisha FC,
2784276367,4,1,1,0,15,8oyl91pb7l6qgk6dryn129td0,1,44.1,43.7,2025-03-05T14:00:31.049Z,2025-03-05T14:00:33Z,5559491465,3,,5559491469,140,37.8,5559491467,56,Back,5559491481,213,1.82,5559491473,141,81.5,5559491477,212,26.5,,,,,,,1gjtz6kvr1pwi82mo5fsppck5,Dorielton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odisha FC,
2784276381,5,1,1,0,17,8oyl91pb7l6qgk6dryn129td0,1,22.7,84.7,2025-03-05T14:00:33.144Z,2025-03-05T14:00:36Z,5559491551,56,Back,5559491555,141,70.5,5559491557,212,25.2,5559491559,213,5.89,5559491553,140,44.9,,,,,,,,,,7qr0rn01vbv68lwaa39m806sq,Saviour Gama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odisha FC,
2784276385,6,1,1,0,21,8oyl91pb7l6qgk6dryn129td0,1,40.1,71.8,2025-03-05T14:00:36.553Z,2025-03-05T14:00:38Z,5559491597,141,53,5559491599,212,13.8,5559491593,56,Back,5559491601,213,5.1,5559491595,140,45,,,,,,,,,,aami0demfxod55od4ktkhzn55,Rohit Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odisha FC,
