id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,teamName,Position
2784533285,1,34,16,0,0,d65t4cxgbtgc2ztx2n88b8tii,1,0,0,2025-03-06T13:13:14.676Z,2025-03-06T13:56:38Z,5560931567,30,"91uv3tace3n1v7v7422lisi5l, 7o888qpdzcc1wnt4qovjdaiok, 2utdfp1sj3pzsr2k9b3khmnoq, 1cz2q65pbg4w6698n6dy028rt, epjm2k6lplvween8gexdifyi2, 7nl0hn7670l84eqqbp2ecjdux, 7hztjxpnaipt5h8retrm1kyy, 77w23oif80n182nsktwf43949, df5mqt7nfb84a3lvylfp08y22, 9kwr2hemg72nh3eh2othwb5sk, dyqnk2t1a29zre3x9wlforgx6, d75znztlcz5g3p5t6jg77s02y, 3ddplpbiqnmaisa6t058w2tm2, cczfio2y0doub738tvqss83qh, 27dzs6us163s1g41tevj9u7f8, 2ve8ej5ej6fnbjpzpuzcdd4gl, dwog7lmj6sp8lgs8ls6ou4fmc, 7i6kz4bfox0j52efjxfa34mj8, 64ks0du9vw4wvzanhoi62l05, nhw0pvzxev9opwvkg3cydd78",5560931579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5560931577,194,epjm2k6lplvween8gexdifyi2,5560931571,59,"1, 3, 41, 5, 4, 65, 10, 28, 9, 23, 7, 6, 8, 11, 17, 24, 25, 29, 31, 77",5560931569,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5560931573,130,8,5560931575,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5560987455,197,22969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad FC,
2784534015,1,34,16,0,0,8uacz8yrceknwsreon4rb5i8o,1,0,0,2025-03-06T13:16:08.456Z,2025-03-06T15:29:07Z,5560935693,59,"78, 12, 27, 10, 74, 35, 6, 4, 99, 7, 29, 1, 16, 20, 23, 25, 31, 33, 44, 45",5560935695,130,9,5560935701,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5560935691,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5561103283,194,ciydd242v6efvzsqd2hxqvwus,5560988185,197,28074,5560935689,30,"1uvpqxrzxnjfb790p5t1mjztg, 1i4qgopfzsr2xyfs93kjtcvai, 8js8a2yz6jly94vf0ilyg76s4, bwiqj25qbrcc2xhc8faqb44wl, 11xl1jtpjn674dw6yxfv33pey, ciydd242v6efvzsqd2hxqvwus, 1csytueiqmph9zm2p58ww333e, 3znwt67r5j8mghoi2wm9urris, 2n6c8ciuley3hz0fnt6gn4zpx, cqwjl27qlms7fxa3edgkvpr6d, fekzw1l7xz97js7ns7ag2mfo, eu9kw6jcgneygerxqlfj00r11, 3hyx5x335jn5udim2a132nt2h, 2hsgcgekgsls87pbwwz9a3q39, 99p8q4t09iq7scfgt0bkrmlpm, dc8zct96hw1uct3arbrq408b8, 61omz2augmafukhx5q6zydw8a, 5hi3s09qsxkuv8l5nw8d8qqj9, 8d6mz56ogl5wo02hgq3qp3ip6, 696x33mjrjyh5szfidw8gd444",5560935697,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2784543681,2,32,1,0,0,d65t4cxgbtgc2ztx2n88b8tii,1,0,0,2025-03-06T14:00:18.860Z,2025-03-06T14:00:20Z,5560990117,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad FC,
2784543675,2,32,1,0,0,8uacz8yrceknwsreon4rb5i8o,1,0,0,2025-03-06T14:00:18.860Z,2025-03-06T14:00:19Z,5560990105,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2784543693,3,1,1,0,0,8uacz8yrceknwsreon4rb5i8o,1,50,50,2025-03-06T14:00:18.861Z,2025-03-06T14:00:23Z,5560990173,56,Back,5560990181,213,2.99,5560990175,140,36.3,5560990179,212,14.5,5560990177,141,53.2,5560990183,279,S,,,,,,,2n6c8ciuley3hz0fnt6gn4zpx,Luka Majcen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2784543725,4,1,1,0,4,8uacz8yrceknwsreon4rb5i8o,1,41.6,46.4,2025-03-06T14:00:23.735Z,2025-03-06T14:00:32Z,5560990355,140,30.5,5560990361,213,2.96,5560990353,56,Back,5560990357,141,49.6,5560990359,212,11.9,,,,,,,,,,bwiqj25qbrcc2xhc8faqb44wl,Ezequiel Vidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2784543739,5,1,1,0,13,8uacz8yrceknwsreon4rb5i8o,1,30.2,50,2025-03-06T14:00:31.927Z,2025-03-06T14:00:35Z,5560990429,212,24.5,5560990423,56,Back,5560990427,141,85.9,5560990431,213,1.67,5560990425,140,27.8,,,,,,,,,,3znwt67r5j8mghoi2wm9urris,Nikhil Prabhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2784543753,6,1,1,0,16,8uacz8yrceknwsreon4rb5i8o,1,31.2,87.7,2025-03-06T14:00:35.232Z,2025-03-06T14:00:40Z,5560990521,213,5.27,5560990511,196,,5560990517,141,4.8,5560990519,212,66.4,5560990509,155,,5560990515,140,64.7,5560990523,1,,5560990513,56,Right,ciydd242v6efvzsqd2hxqvwus,Pramveer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2784543765,7,1,1,0,21,8uacz8yrceknwsreon4rb5i8o,1,70.1,4.6,2025-03-06T14:00:39.990Z,2025-03-06T14:00:42Z,5560990555,56,Right,5560990561,212,18.5,5560990557,140,52.6,5560990559,141,8,5560990563,213,3.02,,,,,,,,,,fekzw1l7xz97js7ns7ag2mfo,Muhammad Suhail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2784543767,8,1,1,0,22,8uacz8yrceknwsreon4rb5i8o,0,52.6,8,2025-03-06T14:00:41.087Z,2025-03-06T14:03:11Z,5560990567,56,Right,5560990573,212,8.5,5560990569,140,58.2,5560990575,213,0.81,5560990571,141,17.1,,,,,,,,,,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
