id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,teamName,Position
2784740137,1,34,16,0,0,5yvw8xpbzap5lhlze04odtgk4,1,0,0,2025-03-07T12:56:02.749Z,2025-03-07T12:56:02Z,5562114811,197,20568,5562114813,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5562114805,130,2,5562114799,30,"eraojginbnda524w48mv1i4us, 58kclnrwfszhkvtfexyctsn3d, arzfyvstbc17d1mioc40tidm2, ap6n4q8c3c5cj9ilb8bxcy9sk, bcjkyeu4gtghgy9khmmob9g45, 6r8f0lomojaqk37bz5ajprze1, 5arf4f4k8om3ux3rryhincxzo, 23m69s7nd9vnc9u9ra2aspn11, bmdl4tqssmqzrgn8n5ldwcavo, 5fbvdc1bd5b3ukg3232sqn1pm, ccrqgyzzq44gpjva980k10gt0, 11i7jwqw21v1kzwndjlk7zzdh, g9tbrt8vtobe5k8p9z88nuju, e26d5q10exurstp1jj47u67mc, 3an8bc2nxiodsw6rbcgji1ilm, 30vv3ayo58dx1eln576s87p0q, da3tvbccuhs3ie2u2tweqcxec, ezqz8zz3azusaew3tmf7f96mt, z6g26xqafehjzqkd3tzejt91, dy0x2kt0h4e6fahxns2k5t2c4",5562114807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5562114809,194,23m69s7nd9vnc9u9ra2aspn11,5562114801,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5562114803,59,"2, 27, 50, 8, 94, 15, 25, 10, 14, 26, 19, 3, 4, 6, 13, 21, 22, 31, 77, 97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2784740349,1,34,16,0,0,1oyc8wvt31xlmocyg7euv40bo,1,0,0,2025-03-07T12:58:48.275Z,2025-03-07T12:58:48Z,5562116031,130,4,5562116033,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5562116039,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5562116025,30,"911ma7mry52gxar14xb0wrkkp, 8uo53q5n2lt81faxntpfsj0q2, 46imbd3n5ksawlc59rxd6ymwa, 6n6x88fmmeybwkr6nt8djmac5, dh1cktmvz3s0ynf3gv6u6hy39, 8jagdiyhimgmuz0ku5mm1266t, 8ivkc4eqlrtucjitvl8fcgu6t, 7t90qi8vml1rdscbbwy0wbuuh, 4caacpozfluk9p6ljrkzzo8o9, 8hst6awgd2m3z7kxj0bjoj4oa, uuh0y713rzg940ai1bjs08ut, cam37rgi4c0zyddtt7vwwubbp, 380ubomb76m0img8g2dfwx7mx, 6wycqyl2ra8kyopmew3thk3ys, 63q26pto3aa8n25y7d0n9baw9, 4m8kav4ahgvl1j1ie9x7hn1lh, ds9i23kxqerve1nqc9l2vlsk, 2c5ua7pkk2ty91mbbyghs3w9g, ewsvhfqhdx59yl2ui9wkxwez9, cmr1iot1ws3kzxkwu0pl5gb9w",5562116037,197,13742,5562116035,194,4caacpozfluk9p6ljrkzzo8o9,5562116029,59,"1, 3, 36, 8, 13, 4, 21, 10, 7, 6, 29, 9, 11, 16, 18, 23, 27, 28, 33, 92",5562116027,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2784745063,2,32,1,0,0,5yvw8xpbzap5lhlze04odtgk4,1,0,0,2025-03-07T14:00:06.462Z,2025-03-07T14:00:09Z,5562141915,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2784745059,2,32,1,0,0,1oyc8wvt31xlmocyg7euv40bo,1,0,0,2025-03-07T14:00:06.462Z,2025-03-07T14:00:06Z,5562141891,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2784745067,3,1,1,0,0,1oyc8wvt31xlmocyg7euv40bo,1,50.2,50.1,2025-03-07T14:00:06.463Z,2025-03-07T14:00:09Z,5562141933,56,Back,5562141945,278,,5562141941,213,3.19,5562141943,279,S,5562141939,212,5.5,5562141937,141,49.7,5562141935,140,45,,,,4caacpozfluk9p6ljrkzzo8o9,Lallianzuala Chhangte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2784745073,4,1,1,0,2,1oyc8wvt31xlmocyg7euv40bo,1,45,49.7,2025-03-07T14:00:09.447Z,2025-03-07T14:00:13Z,5562141985,56,Back,5562141989,141,90.3,5562141995,1,,5562141987,140,28,5562141993,213,2.14,5562141991,212,32.9,,,,,,,8ivkc4eqlrtucjitvl8fcgu6t,Jon Toral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2784745079,5,1,1,0,7,1oyc8wvt31xlmocyg7euv40bo,1,28,90.5,2025-03-07T14:00:13.559Z,2025-03-07T14:01:08Z,5562142035,141,75.4,5562142037,212,12.7,5562142033,140,20.9,5562142039,213,4.08,5562142031,56,Back,,,,,,,,,,46imbd3n5ksawlc59rxd6ymwa,Sahil Panwar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2784745085,6,1,1,0,8,1oyc8wvt31xlmocyg7euv40bo,1,20.9,75.4,2025-03-07T14:00:15.335Z,2025-03-07T14:01:03Z,5562142075,213,4.76,5562142069,140,22.1,5562142067,56,Back,5562142073,212,28.8,5562142071,141,33.1,,,,,,,,,,8jagdiyhimgmuz0ku5mm1266t,Tiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2784745089,7,1,1,0,10,1oyc8wvt31xlmocyg7euv40bo,1,22.1,33.1,2025-03-07T14:00:16.839Z,2025-03-07T14:01:06Z,5562142091,56,Back,5562142093,140,26.2,5562142095,141,10.1,5562142099,213,4.98,5562142097,212,16.2,,,,,,,,,,dh1cktmvz3s0ynf3gv6u6hy39,Thaer Krouma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2784745093,8,1,1,0,11,1oyc8wvt31xlmocyg7euv40bo,1,26.2,10.1,2025-03-07T14:00:18.167Z,2025-03-07T14:00:20Z,5562142115,213,1.93,5562142107,56,Back,5562142109,140,21.2,5562142111,141,30.4,5562142113,212,14.8,,,,,,,,,,8uo53q5n2lt81faxntpfsj0q2,Valpuia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
