id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/17/value,qualifier/19/value,qualifier/16/value,teamName,Position
2786067185,1,34,16,0,0,1kqb5u8em0tj1k40607w2vtl4,1,0,0,2025-03-09T13:14:02.049Z,2025-03-09T14:05:13Z,5569209245,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5569209237,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5569209225,30,"5sifbrmwnzisvbvutlcx25v1m, a5hmrpq6qy5ac6ir7hd4fajxm, bepdz3gbb2rxeuae2lt159g16, 18du6lik5pot8uofj1s1n0nl6, 9h25nvm0qom316k8qamw5zh1w, ajkkf12dn8livsb196zp7w0d1, 3macevv6d8kk7a3na4b3zh2j8, h8166wj7jjqddgelgyf61nu1, 83rpxksxq3qq7vxslur4ge5sl, co1a0flew05hmeteg442x7vmd, 5phslvtihgvzghwa9dqmqtune, 87ij2wepxhp3jdsgylz99c8dm, a9gquocdgtb8bpk99a5a110mi, gjlr532pk0g0fx3us9d61q6t, evpkruwe8cis1pfkujwfwr9hx, amlbv42tcsqmxktheidr23sru, 8s6nlre415t2uxinzkx3w0xlg, e5pgescmpgtyk96b07mpicsq2, af2pz7tnkibqwj9qoq6pnwm0a, auhy9ipee9aqnksz1ons6et49",5569209233,130,2,5569322835,197,18550,5569209241,194,ajkkf12dn8livsb196zp7w0d1,5569209231,59,"1, 6, 23, 8, 4, 5, 19, 71, 9, 27, 70, 7, 13, 17, 20, 21, 22, 37, 77, 88",5569209229,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2786069755,1,34,16,0,0,ajwqetklk0m22x7ifsjax5yi,1,0,0,2025-03-09T13:16:50.056Z,2025-03-09T14:02:39Z,5569333377,197,27608,5569223297,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5569223295,130,8,5569223293,59,"32, 77, 23, 15, 6, 3, 5, 20, 9, 8, 11, 7, 13, 17, 18, 21, 22, 33, 56, 68",5569223289,30,"5jtd252do025958pgqkigc0d1, 1ilh1vogo8mggj0vhf2oknswk, a1rjrfrukdqfztu8c9l88wduc, 2z2u1jd91uyccw2pn5qoiti0a, 9vjotu14gqx0jhgrs12qwkezt, banlw3aybtscei2n206mlzf85, iydj3zcyzjgguy8iwmitdp05, 7q0oc78bzao7g3iy7zoobmy1, 88x8tqxamao1dzdfz5libluui, 3i9ye7yfz4j9bhbi8gco7mjca, 11een7yuvw4psjhjuakk75clw, 31g5m4lerjmoykobyt8cckxxx, 851tv9v6www1lbd2eeehwbrx0, e2kge0d4o0jg6ndxsq0tm0x9m, 3e4twzsgwcxza9739q17gn4h6, 27ep4aadiffsck8usuolvc416, 8vulbgpf7e1nmpnawi5z8vbze, b8l2ubkujj1lhnld7k97qa2qy, 46v439ra4pzfd0xs7ddlkj7ro, 8h08hdzxeycejk9hao8022txw",5569223291,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5569223299,194,3i9ye7yfz4j9bhbi8gco7mjca,5569223301,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2786103821,2,32,1,0,0,ajwqetklk0m22x7ifsjax5yi,1,0,0,2025-03-09T14:00:28.430Z,2025-03-09T14:00:28Z,5569405829,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2786103839,2,32,1,0,0,1kqb5u8em0tj1k40607w2vtl4,1,0,0,2025-03-09T14:00:28.430Z,2025-03-09T14:00:29Z,5569405927,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2786103867,3,1,1,0,0,1kqb5u8em0tj1k40607w2vtl4,1,49.8,50,2025-03-09T14:00:28.431Z,2025-03-09T16:09:45Z,5569406063,279,S,5569406051,56,Back,5569406061,213,2.89,5569406053,140,31.6,5569406055,141,57.2,5569406057,212,19.7,,,,,,,5phslvtihgvzghwa9dqmqtune,Lukas Brambilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2786103879,4,1,1,0,4,1kqb5u8em0tj1k40607w2vtl4,1,33.8,60.6,2025-03-09T14:00:32.748Z,2025-03-09T14:00:34Z,5569406139,213,5.95,5569406129,155,,5569406141,1,,5569406131,56,Center,5569406133,140,65.5,5569406135,141,43.4,5569406137,212,35.3,,,,ajkkf12dn8livsb196zp7w0d1,Elsinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2786103889,5,1,1,0,6,1kqb5u8em0tj1k40607w2vtl4,0,65.2,42.7,2025-03-09T14:00:34.607Z,2025-03-09T14:00:35Z,5569406195,56,Right,5569406197,140,93.4,5569406193,3,,5569406201,212,33.5,5569406205,1,,5569406203,213,5.8,5569406199,141,19.8,,,,83rpxksxq3qq7vxslur4ge5sl,Wilmar Jordán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2786103941,3,12,1,0,7,ajwqetklk0m22x7ifsjax5yi,1,13.1,82.3,2025-03-09T14:00:36.093Z,2025-03-09T14:00:41Z,5569406449,56,Back,5569406451,140,2.7,5569406473,167,,5569406457,213,2.28,5569406455,212,16.8,5569406453,141,100,,,,,,,a1rjrfrukdqfztu8c9l88wduc,Muhammed Uvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2786103945,4,5,1,0,12,ajwqetklk0m22x7ifsjax5yi,0,9.4,101,2025-03-09T14:00:40.763Z,2025-03-09T16:01:38Z,5569408515,233,6,5569408553,347,,5569406467,56,Back,,,,,,,,,,,,,,,,a1rjrfrukdqfztu8c9l88wduc,Muhammed Uvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2786103965,6,5,1,0,12,1kqb5u8em0tj1k40607w2vtl4,1,90.6,-1,2025-03-09T14:00:40.763Z,2025-03-09T14:01:17Z,5569406579,56,Right,5569408549,347,,5569408495,233,4,,,,,,,,,,,,,,,,83rpxksxq3qq7vxslur4ge5sl,Wilmar Jordán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2786104141,5,43,1,0,32,ajwqetklk0m22x7ifsjax5yi,1,0,0,2025-03-09T14:01:01.420Z,2025-03-09T14:01:06Z,5569407609,73,0,5569407607,56,Back,5569407863,144,6,,,,,,,,,,,,,,,,a1rjrfrukdqfztu8c9l88wduc,Muhammed Uvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2786104215,7,1,1,0,38,1kqb5u8em0tj1k40607w2vtl4,0,91,0,2025-03-09T14:01:06.772Z,2025-03-09T14:02:24Z,5569407939,141,37.1,5569413427,1,,5569413425,107,,5569407943,212,26.1,5569407933,56,Center,5569407947,213,1.53,5569407937,140,92.1,,,,a5hmrpq6qy5ac6ir7hd4fajxm,Ankit Mukherjee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
