id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/16/value,teamName,Position
2786713327,1,34,16,0,0,335mseh7gazfrf4eu6w9htw6i,1,0,0,2025-03-10T13:07:23.511Z,2025-03-10T14:23:22Z,5572727785,197,21383,5572727773,30,"36coytybrizxbjsnpc0y4ojro, 51kwsfsllwjzbvbuibze1ilg4, 9j7ldugih7jluatsnjb1jcgd1, 111rps7bzz2212jh5g8io7xn8, f3gutlzxtzt5bxtrjdgb0inai, 5rd9832gct7uy0acodmor8b11, 5nzjwpjfso7bmwo37f92jl3ze, 6vhnh2pt7o4wcxltwru4zwtwq, cnea18p2z4830dwkn0kcp9pii, evsrix4aokl5o7dlx9zc41h49, 8biopg2xct41y90c99xuavze, 6fuk4mojob40kspt4k6vntbhm, c882zt0m6vndkww1n342az56, el2g322b4azy0qbi5jtqqpkic, 8mvj2wqfdt16tj8vn162q0fvu, 323c1wpc2u6ein4txc6cj12j8, b9o23q2u9ehavlom8bb7op42d, 4gjr8cf8v850lhgj32xh1vvh0, c96np1hw7eiu2vmgoul66y710, c3o7pp0cqispnqebrz2odiqz8",5572727781,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5572727787,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5572727783,194,9j7ldugih7jluatsnjb1jcgd1,5572727775,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5572727779,130,4,5572727777,59,"1, 34, 14, 21, 24, 69, 4, 8, 15, 9, 19, 5, 11, 18, 22, 30, 44, 66, 71, 89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC,
2786715609,1,34,16,0,0,8uacz8yrceknwsreon4rb5i8o,1,0,0,2025-03-10T13:12:48.035Z,2025-03-10T13:12:48Z,5572740049,194,2n6c8ciuley3hz0fnt6gn4zpx,5572740041,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5572740047,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5572740043,59,"78, 12, 27, 6, 74, 35, 29, 4, 99, 10, 7, 1, 16, 20, 23, 25, 31, 44, 45, 77",5572740039,30,"1uvpqxrzxnjfb790p5t1mjztg, 1i4qgopfzsr2xyfs93kjtcvai, 8js8a2yz6jly94vf0ilyg76s4, 1csytueiqmph9zm2p58ww333e, 11xl1jtpjn674dw6yxfv33pey, ciydd242v6efvzsqd2hxqvwus, fekzw1l7xz97js7ns7ag2mfo, 3znwt67r5j8mghoi2wm9urris, 2n6c8ciuley3hz0fnt6gn4zpx, bwiqj25qbrcc2xhc8faqb44wl, cqwjl27qlms7fxa3edgkvpr6d, eu9kw6jcgneygerxqlfj00r11, 3hyx5x335jn5udim2a132nt2h, 2hsgcgekgsls87pbwwz9a3q39, 99p8q4t09iq7scfgt0bkrmlpm, dc8zct96hw1uct3arbrq408b8, 61omz2augmafukhx5q6zydw8a, 8d6mz56ogl5wo02hgq3qp3ip6, 696x33mjrjyh5szfidw8gd444, 9w7vzklkn51n608f2md2ds3kk",5572740045,130,8,5572740053,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5572740051,197,13977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2786735227,2,32,1,0,0,8uacz8yrceknwsreon4rb5i8o,1,0,0,2025-03-10T14:00:10.259Z,2025-03-10T14:00:10Z,5572851903,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2786735231,2,32,1,0,0,335mseh7gazfrf4eu6w9htw6i,1,0,0,2025-03-10T14:00:10.259Z,2025-03-10T14:00:12Z,5572851913,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC,
2786735251,3,1,1,0,0,335mseh7gazfrf4eu6w9htw6i,1,49.6,50.3,2025-03-10T14:00:10.260Z,2025-03-10T14:00:13Z,5572852035,212,4.5,5572852037,213,3.61,5572852031,140,45.8,5572852039,279,S,5572852029,56,Back,5572852041,278,,5572852033,141,47.3,,,,evsrix4aokl5o7dlx9zc41h49,França,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC,
2786735263,4,1,1,0,2,335mseh7gazfrf4eu6w9htw6i,1,44,49.1,2025-03-10T14:00:12.808Z,2025-03-10T14:00:15Z,5572852099,140,31.7,5572852103,212,17.6,5572852097,56,Back,5572852101,141,66.6,5572852105,213,2.4,,,,,,,,,,6vhnh2pt7o4wcxltwru4zwtwq,Amarjit Singh Kiyam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC,
2786735273,5,1,1,0,4,335mseh7gazfrf4eu6w9htw6i,0,31.7,66.6,2025-03-10T14:00:14.839Z,2025-03-10T14:00:17Z,5572852147,157,,5572852149,56,Left,5572852155,212,42.6,5572852153,141,100,5572852159,1,,5572852151,140,65.3,5572852157,213,0.59,,,,f3gutlzxtzt5bxtrjdgb0inai,Joe Zoherliana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC,
2786735291,3,5,1,0,7,8uacz8yrceknwsreon4rb5i8o,1,32.4,-1.8,2025-03-10T14:00:17.417Z,2025-03-10T14:02:21Z,5572852233,347,,5572852231,56,Back,5572852243,233,6,,,,,,,,,,,,,,,,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2786735279,6,5,1,0,7,335mseh7gazfrf4eu6w9htw6i,0,67.6,101.8,2025-03-10T14:00:17.417Z,2025-03-10T14:00:21Z,5572852175,56,Left,5572852253,233,3,5572852177,347,,,,,,,,,,,,,,,,,f3gutlzxtzt5bxtrjdgb0inai,Joe Zoherliana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC,
2786735317,4,43,1,0,16,8uacz8yrceknwsreon4rb5i8o,1,0,0,2025-03-10T14:00:26.800Z,2025-03-10T14:00:53Z,5572852495,212,23.5,5572853205,144,1,5572852491,140,51.3,5572852487,107,0,5572852497,213,6.26,5572852499,1,0,5572852489,56,Right,5572852493,141,0,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
