id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,,teamName,Position
2787035921,1,34,16,0,0,1oyc8wvt31xlmocyg7euv40bo,1,0,0,2025-03-11T12:57:25.048Z,2025-03-11T12:57:24Z,5574555865,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5574555863,197,27081,5574555853,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5574555855,59,"1, 3, 27, 8, 5, 4, 7, 10, 9, 6, 11, 13, 16, 20, 21, 23, 29, 33, 36, 92",5574555859,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5574555861,194,4caacpozfluk9p6ljrkzzo8o9,5574555857,130,4,5574555851,30,"911ma7mry52gxar14xb0wrkkp, 8uo53q5n2lt81faxntpfsj0q2, ds9i23kxqerve1nqc9l2vlsk, 6n6x88fmmeybwkr6nt8djmac5, easkhb7p76ltpwpqkntmcu6ll, 8jagdiyhimgmuz0ku5mm1266t, 4caacpozfluk9p6ljrkzzo8o9, 7t90qi8vml1rdscbbwy0wbuuh, cam37rgi4c0zyddtt7vwwubbp, 8hst6awgd2m3z7kxj0bjoj4oa, 380ubomb76m0img8g2dfwx7mx, dh1cktmvz3s0ynf3gv6u6hy39, 6wycqyl2ra8kyopmew3thk3ys, jewe7em2j8u4bw7xxbucebbp, 8ivkc4eqlrtucjitvl8fcgu6t, 4m8kav4ahgvl1j1ie9x7hn1lh, uuh0y713rzg940ai1bjs08ut, ewsvhfqhdx59yl2ui9wkxwez9, 46imbd3n5ksawlc59rxd6ymwa, cmr1iot1ws3kzxkwu0pl5gb9w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2787036033,1,34,16,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,2025-03-11T12:58:31.612Z,2025-03-11T14:02:50Z,5574556439,197,28018,5574556433,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5574556441,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5574556427,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5574556431,130,4,5574556437,194,99cjmvx4xlyzhyf6wxlvisb11,5574556429,59,"22, 25, 32, 23, 2, 5, 7, 8, 17, 31, 11, 1, 6, 9, 12, 14, 18, 24, 26, 29",5574556425,30,"cqtsv8o9c603won64dpi3x2j8, 7vwq6tjwae82epsh6kll9phm2, 3sy4rxdzl4u9e5kkvygxu9x7u, c22j2xs6nnyho3hixmh0txo9g, 183r263z06eesonzbta557ys5, 52hvmgmgja56sqj0zga4tvk5x, cufgsqfkltgeb7ak2uan2dqdx, de6woepvuggpm1z2cwz1nbmne, 7wpltjujzubkwy1k57jzcwafp, daflma7990pzvp9o2ebnzi1as, 99cjmvx4xlyzhyf6wxlvisb11, et5ztuwgv6uaiste9nxba9h3p, 2a9hami994cy6omp5puter6c, deyx0zxr2303hh3cru8l88u1g, eisspzerdcz21ukznum5q30bu, d9a3eym5myc3ohd1lr6d2036c, c8xdtls9ueivjll19yvp5wq1h, 7gknnojch0zpa9cryvymfzcru, 3syfp9ndbs7t5vgj21a02gcno, 73ri99nts1mnwmuqoriohi50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2787048135,2,32,1,0,0,1oyc8wvt31xlmocyg7euv40bo,1,0,0,2025-03-11T14:00:09.403Z,2025-03-11T14:00:10Z,5574624271,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2787048129,2,32,1,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,2025-03-11T14:00:09.403Z,2025-03-11T14:00:09Z,5574624251,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2787048141,3,1,1,0,0,1oyc8wvt31xlmocyg7euv40bo,1,50.1,50.1,2025-03-11T14:00:09.404Z,2025-03-11T14:00:13Z,5574624303,212,28,5574624305,213,2.91,5574624299,140,24.2,5574624301,141,59.6,5574624297,56,Back,5574624307,279,S,,,,,,,cam37rgi4c0zyddtt7vwwubbp,Nikos Karelis,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2787048149,4,1,1,0,3,1oyc8wvt31xlmocyg7euv40bo,0,24.6,59.7,2025-03-11T14:00:13.035Z,2025-03-11T14:00:16Z,5574624349,140,75.4,5574624345,155,,5574624357,1,,5574624351,141,80.6,5574624355,213,0.26,5574624353,212,55.2,5574624347,56,Left,,,,8jagdiyhimgmuz0ku5mm1266t,Tiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2787048159,3,1,1,0,6,12ksg0e6d70senzilsic40fzl,0,25.5,20.6,2025-03-11T14:00:15.839Z,2025-03-11T14:01:17Z,5574624401,3,,5574624411,213,5.67,5574624407,141,5.2,5574624409,212,18.1,5574624405,140,39.6,5574624403,56,Back,,,,,,,7vwq6tjwae82epsh6kll9phm2,Namgyal Bhutia,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2787048157,5,3,1,0,9,1oyc8wvt31xlmocyg7euv40bo,0,62.4,94.2,2025-03-11T14:00:19.003Z,2025-03-11T14:00:59Z,5574625127,233,4,5574624399,286,,5574624397,56,Left,,,,,,,,,,,,,,,,ds9i23kxqerve1nqc9l2vlsk,Nathan Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2787048163,4,7,1,0,9,12ksg0e6d70senzilsic40fzl,0,36.6,6.2,2025-03-11T14:00:19.004Z,2025-03-11T14:01:00Z,5574624435,285,,5574624433,56,Back,5574625123,233,5,,,,,,,,,,,,,,,,cufgsqfkltgeb7ak2uan2dqdx,Ryan Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2787048165,6,61,1,0,11,1oyc8wvt31xlmocyg7euv40bo,1,69.5,96.5,2025-03-11T14:00:21.076Z,2025-03-11T14:00:21Z,5574624437,56,Left,,,,,,,,,,,,,,,,,,,,,,ds9i23kxqerve1nqc9l2vlsk,Nathan Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2787048167,5,1,1,0,12,12ksg0e6d70senzilsic40fzl,0,23.5,3.8,2025-03-11T14:00:22.369Z,2025-03-11T14:00:23Z,5574624445,141,8.8,5574624447,212,13.3,5574624443,140,35.7,5574624441,56,Back,5574624449,213,0.26,,,,,,,,,,7vwq6tjwae82epsh6kll9phm2,Namgyal Bhutia,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2787048173,7,61,1,0,15,1oyc8wvt31xlmocyg7euv40bo,0,77.8,88.7,2025-03-11T14:00:25.275Z,2025-03-11T14:18:48Z,5574624481,56,Left,,,,,,,,,,,,,,,,,,,,,,380ubomb76m0img8g2dfwx7mx,Jorge Ortíz,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2787048247,10,61,1,0,16,1oyc8wvt31xlmocyg7euv40bo,1,65.5,86.8,2025-03-11T14:00:26.258Z,2025-03-11T14:00:59Z,5574624901,56,Left,,,,,,,,,,,,,,,,,,,,,,7t90qi8vml1rdscbbwy0wbuuh,Brandon Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2787048185,6,1,1,0,17,12ksg0e6d70senzilsic40fzl,1,22.2,11,2025-03-11T14:00:27.212Z,2025-03-11T14:00:28Z,5574624557,140,30.5,5574624561,212,16.3,5574624559,141,31.3,5574624555,56,Back,5574624563,213,1.01,,,,,,,,,,7vwq6tjwae82epsh6kll9phm2,Namgyal Bhutia,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2787048189,7,49,1,0,18,12ksg0e6d70senzilsic40fzl,1,30.5,31.3,2025-03-11T14:00:28.368Z,2025-03-11T14:00:28Z,,,,,,,,,,,,,,,,,,,,,,,,,de6woepvuggpm1z2cwz1nbmne,Suresh Singh Wangjam,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2787048203,8,1,1,0,19,12ksg0e6d70senzilsic40fzl,1,29.8,31.5,2025-03-11T14:00:28.774Z,2025-03-11T14:00:32Z,5574624657,141,81.4,5574624661,213,1.64,5574624659,212,34,5574624653,56,Back,5574624655,140,27.5,5574624663,1,,,,,,,,de6woepvuggpm1z2cwz1nbmne,Suresh Singh Wangjam,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
