id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/17/value,teamName,Position
2787341573,1,34,16,0,0,d65t4cxgbtgc2ztx2n88b8tii,1,0,0,2025-03-12T12:56:19.779Z,2025-03-12T12:56:19Z,5576260667,194,epjm2k6lplvween8gexdifyi2,5576260657,30,"91uv3tace3n1v7v7422lisi5l, nhw0pvzxev9opwvkg3cydd78, 2utdfp1sj3pzsr2k9b3khmnoq, 1cz2q65pbg4w6698n6dy028rt, epjm2k6lplvween8gexdifyi2, 7nl0hn7670l84eqqbp2ecjdux, 37bxlfo2kj1bowgi4tm4jgcgk, 3ddplpbiqnmaisa6t058w2tm2, df5mqt7nfb84a3lvylfp08y22, 27dzs6us163s1g41tevj9u7f8, cczfio2y0doub738tvqss83qh, 7o888qpdzcc1wnt4qovjdaiok, d75znztlcz5g3p5t6jg77s02y, dyqnk2t1a29zre3x9wlforgx6, 3o7dpj9z9n58rl1woias5yiac, 2ve8ej5ej6fnbjpzpuzcdd4gl, dwog7lmj6sp8lgs8ls6ou4fmc, 77w23oif80n182nsktwf43949, 7i6kz4bfox0j52efjxfa34mj8, 64ks0du9vw4wvzanhoi62l05",5576260665,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5576260671,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5576260661,59,"1, 77, 41, 5, 4, 65, 27, 8, 9, 17, 11, 3, 6, 7, 22, 24, 25, 28, 29, 31",5576260659,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5576260669,197,22969,5576260663,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad FC,
2787342149,1,34,16,0,0,5yvw8xpbzap5lhlze04odtgk4,1,0,0,2025-03-12T12:59:02.516Z,2025-03-12T14:25:48Z,5576263773,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5576263763,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5576263769,197,26356,5576263759,59,"2, 27, 50, 10, 94, 15, 25, 13, 14, 8, 19, 3, 4, 6, 21, 22, 26, 77, 81, 97",5576263761,130,2,5576263755,30,"eraojginbnda524w48mv1i4us, 58kclnrwfszhkvtfexyctsn3d, arzfyvstbc17d1mioc40tidm2, 23m69s7nd9vnc9u9ra2aspn11, bcjkyeu4gtghgy9khmmob9g45, 6r8f0lomojaqk37bz5ajprze1, 5arf4f4k8om3ux3rryhincxzo, 3an8bc2nxiodsw6rbcgji1ilm, bmdl4tqssmqzrgn8n5ldwcavo, ap6n4q8c3c5cj9ilb8bxcy9sk, ccrqgyzzq44gpjva980k10gt0, 11i7jwqw21v1kzwndjlk7zzdh, g9tbrt8vtobe5k8p9z88nuju, e26d5q10exurstp1jj47u67mc, 30vv3ayo58dx1eln576s87p0q, da3tvbccuhs3ie2u2tweqcxec, 5fbvdc1bd5b3ukg3232sqn1pm, z6g26xqafehjzqkd3tzejt91, 430jp7ijbrfaw6pmz19hg2tjo, dy0x2kt0h4e6fahxns2k5t2c4",5576263767,194,23m69s7nd9vnc9u9ra2aspn11,5576263757,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2787354767,2,32,1,0,0,d65t4cxgbtgc2ztx2n88b8tii,1,0,0,2025-03-12T14:00:12.420Z,2025-03-12T14:00:15Z,5576336725,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad FC,
2787354765,2,32,1,0,0,5yvw8xpbzap5lhlze04odtgk4,1,0,0,2025-03-12T14:00:12.420Z,2025-03-12T14:00:12Z,5576336723,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2787354787,3,1,1,0,0,5yvw8xpbzap5lhlze04odtgk4,1,49.9,49.9,2025-03-12T14:00:12.421Z,2025-03-12T14:00:16Z,5576336871,140,32.6,5576336873,141,57.2,5576336875,212,18.8,5576336879,279,S,5576336877,213,2.87,5576336869,56,Back,,,,,,,ap6n4q8c3c5cj9ilb8bxcy9sk,Vibin Mohanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2787354793,4,1,1,0,4,5yvw8xpbzap5lhlze04odtgk4,1,32.6,57.2,2025-03-12T14:00:16.492Z,2025-03-12T14:00:19Z,5576336907,141,86.2,5576336909,212,19.8,5576336911,213,1.66,5576336905,140,30.9,5576336903,56,Back,,,,,,,,,,23m69s7nd9vnc9u9ra2aspn11,Adrian Luna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2787354801,5,1,1,0,6,5yvw8xpbzap5lhlze04odtgk4,1,30.9,86.2,2025-03-12T14:00:18.971Z,2025-03-12T14:00:21Z,5576336917,56,Left,5576336923,212,26.2,5576336921,141,87.2,5576336919,140,55.8,5576336925,213,0.03,,,,,,,,,,arzfyvstbc17d1mioc40tidm2,Naocha Singh Huidrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2787354809,6,1,1,0,8,5yvw8xpbzap5lhlze04odtgk4,1,55.8,87.2,2025-03-12T14:00:20.924Z,2025-03-12T14:00:23Z,5576336971,213,3.17,5576336967,141,86,5576336969,212,24.6,5576336963,56,Back,5576336965,140,32.4,,,,,,,,,,ccrqgyzzq44gpjva980k10gt0,Mohammed Aimen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2787354813,7,1,1,0,10,5yvw8xpbzap5lhlze04odtgk4,1,32.4,86,2025-03-12T14:00:22.939Z,2025-03-12T14:00:24Z,5576337001,140,23,5576336999,56,Back,5576337007,213,4.16,5576337005,212,18.7,5576337003,141,62.7,,,,,,,,,,arzfyvstbc17d1mioc40tidm2,Naocha Singh Huidrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2787354823,8,1,1,0,12,5yvw8xpbzap5lhlze04odtgk4,1,23,62.7,2025-03-12T14:00:24.508Z,2025-03-12T14:00:28Z,5576337061,212,13.8,5576337059,141,46.1,5576337063,213,5.33,5576337057,140,30.6,5576337055,56,Back,,,,,,,,,,6r8f0lomojaqk37bz5ajprze1,Milos Drinčić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
