id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/9/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,assist,qualifier/18/value,teamName,Position
2792542303,1,34,16,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,2025-03-29T12:55:44.457Z,2025-03-29T14:16:22Z,5604847871,130,4,5604847879,194,183r263z06eesonzbta557ys5,5604847865,59,"1, 25, 32, 18, 2, 4, 10, 8, 17, 7, 31, 5, 6, 9, 11, 12, 22, 23, 29, 30",5604847859,30,"et5ztuwgv6uaiste9nxba9h3p, 7vwq6tjwae82epsh6kll9phm2, 3sy4rxdzl4u9e5kkvygxu9x7u, c8xdtls9ueivjll19yvp5wq1h, 183r263z06eesonzbta557ys5, duxnzil70n1147w8ob8ooxo89, jtmpumg28emowvrre2ujqtw5, de6woepvuggpm1z2cwz1nbmne, 7wpltjujzubkwy1k57jzcwafp, cufgsqfkltgeb7ak2uan2dqdx, daflma7990pzvp9o2ebnzi1as, 52hvmgmgja56sqj0zga4tvk5x, 2a9hami994cy6omp5puter6c, deyx0zxr2303hh3cru8l88u1g, 99cjmvx4xlyzhyf6wxlvisb11, eisspzerdcz21ukznum5q30bu, cqtsv8o9c603won64dpi3x2j8, c22j2xs6nnyho3hixmh0txo9g, 73ri99nts1mnwmuqoriohi50, bq6z0bjgr610tyjw8cs0hzr2t",5604847861,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5605143509,197,28018,5604847875,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5604847883,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2792542751,1,34,16,0,0,1oyc8wvt31xlmocyg7euv40bo,1,0,0,2025-03-29T12:56:29.342Z,2025-03-29T14:08:48Z,5604850473,194,4caacpozfluk9p6ljrkzzo8o9,5604850459,30,"911ma7mry52gxar14xb0wrkkp, 8uo53q5n2lt81faxntpfsj0q2, ds9i23kxqerve1nqc9l2vlsk, 6n6x88fmmeybwkr6nt8djmac5, dh1cktmvz3s0ynf3gv6u6hy39, easkhb7p76ltpwpqkntmcu6ll, 8hst6awgd2m3z7kxj0bjoj4oa, 7t90qi8vml1rdscbbwy0wbuuh, cam37rgi4c0zyddtt7vwwubbp, 4caacpozfluk9p6ljrkzzo8o9, 380ubomb76m0img8g2dfwx7mx, 63q26pto3aa8n25y7d0n9baw9, jewe7em2j8u4bw7xxbucebbp, 8ivkc4eqlrtucjitvl8fcgu6t, 4m8kav4ahgvl1j1ie9x7hn1lh, 2c5ua7pkk2ty91mbbyghs3w9g, uuh0y713rzg940ai1bjs08ut, ewsvhfqhdx59yl2ui9wkxwez9, 46imbd3n5ksawlc59rxd6ymwa, cmr1iot1ws3kzxkwu0pl5gb9w",5605142293,197,27081,5604850469,130,4,5604850475,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5604850471,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5604850463,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5604850467,59,"1, 3, 27, 8, 13, 5, 6, 10, 9, 7, 11, 18, 20, 21, 23, 28, 29, 33, 36, 92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2792602395,2,32,1,0,0,1oyc8wvt31xlmocyg7euv40bo,1,0,0,2025-03-29T14:00:27.910Z,2025-03-29T14:00:28Z,5605163887,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2792602403,2,32,1,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,2025-03-29T14:00:27.910Z,2025-03-29T14:00:30Z,5605163925,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2792602433,3,1,1,0,0,1oyc8wvt31xlmocyg7euv40bo,1,50.1,50.1,2025-03-29T14:00:27.911Z,2025-03-29T14:00:31Z,5605164095,279,S,5605164085,56,Back,5605164093,213,3.34,5605164091,212,25.1,5605164089,141,42.7,5605164087,140,26.7,,,,,,,cam37rgi4c0zyddtt7vwwubbp,Nikos Karelis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2792602465,4,1,1,0,3,1oyc8wvt31xlmocyg7euv40bo,0,27.1,42.7,2025-03-29T14:00:31.079Z,2025-03-29T14:00:33Z,5605164259,141,90.2,5605164251,56,Left,5605164249,157,,5605164263,212,61.6,5605164267,1,,5605164253,140,77.1,5605164265,213,0.55,,,,dh1cktmvz3s0ynf3gv6u6hy39,Thaer Krouma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai City FC,
2792602519,3,1,1,0,5,12ksg0e6d70senzilsic40fzl,1,29.2,8.9,2025-03-29T14:00:33.272Z,2025-03-29T14:00:36Z,5605164571,141,43.7,5605164573,212,27,5605164565,3,,5605164569,140,41.5,5605164567,56,Back,5605164575,213,1.07,,,,,,,daflma7990pzvp9o2ebnzi1as,Vinith Venkatesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2792602565,4,1,1,0,8,12ksg0e6d70senzilsic40fzl,1,40.9,44.3,2025-03-29T14:00:36.352Z,2025-03-29T14:00:38Z,5605164719,212,5,5605164709,56,Back,5605164711,140,36.2,5605164723,213,3.22,5605164705,3,,5605164715,141,43.7,,,,,,,de6woepvuggpm1z2cwz1nbmne,Suresh Singh Wangjam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2792602571,5,49,1,0,10,12ksg0e6d70senzilsic40fzl,1,37.3,44.8,2025-03-29T14:00:38.061Z,2025-03-29T14:00:38Z,,,,,,,,,,,,,,,,,,,,,,,,,jtmpumg28emowvrre2ujqtw5,Alberto Noguera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2792603969,6,1,1,0,10,12ksg0e6d70senzilsic40fzl,1,38,45.8,2025-03-29T14:00:38.759Z,2025-03-29T14:02:28Z,5605172417,140,42.6,5605172419,141,78.2,5605172415,56,Back,5605172421,212,22.6,5605172423,213,1.35,,,,,,,,,,jtmpumg28emowvrre2ujqtw5,Alberto Noguera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
