id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value,teamName,Position
2793616957,1,34,16,0,0,7xo09xnh3y03lyai6azr77fo0,1,0,0,2025-03-30T13:14:53.778Z,2025-03-30T13:56:17Z,5610583447,130,4,5610880397,197,21983,5610583445,59,"1, 22, 77, 15, 12, 4, 6, 13, 10, 18, 14, 2, 3, 9, 11, 17, 19, 23, 26, 32",5610583449,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610583441,30,"f1tuc3g6x0bvykbf3l6kckhnu, 27cg2gd6m8m4cw75j37dquxud, 31a4sn8saxhfnh57j7c1yy2ac, dq03xoo08fyces9h371x0ce1g, dq2edinn9zcsx9ztdmkw33l61, awmnvgz0piarvn8o7b7zk57f9, cmipqs8kvp9fztc1ekgzlwogl, 6vak9npg73k6di2oagxg8ttgq, xm1pai2cllklkwkgpb7n5mmt, d2ouk806csxbamwjbwlxwi92i, 8dzeq723volchfye1smryolt6, dpg6dskbwuf9die5imz7z1y7e, 6ariy9j4fdbyhn54pldheaz56, 4mp7evwd4phlu496qsbworjrp, e41kyipdxjy3gkni3idz31mac, 989i9o2rat334wwkdlqssejh0, 5g8572gxi73ztuk13kttx9b84, 8e7tqocxsueniln7rzsy2l46i, 7hdjglam5w0880u4mqxs4onsa, 1ctlomg9lmbz9y86xgonquvsa",5610583453,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610583443,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610583451,194,awmnvgz0piarvn8o7b7zk57f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793623847,1,34,16,0,0,ajwqetklk0m22x7ifsjax5yi,1,0,0,2025-03-30T13:19:18.287Z,2025-03-30T13:53:51Z,5610618709,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610618713,194,3vdeg67iuouaj5rfdrnh14h5h,5610618693,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610867391,197,7288,5610618703,130,2,5610618717,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610618689,30,"5jtd252do025958pgqkigc0d1, iydj3zcyzjgguy8iwmitdp05, a1rjrfrukdqfztu8c9l88wduc, 2z2u1jd91uyccw2pn5qoiti0a, ex1jk22ckbwg721ie0azus2c5, 9vjotu14gqx0jhgrs12qwkezt, 1ilh1vogo8mggj0vhf2oknswk, 3i9ye7yfz4j9bhbi8gco7mjca, e2kge0d4o0jg6ndxsq0tm0x9m, 3vdeg67iuouaj5rfdrnh14h5h, 11een7yuvw4psjhjuakk75clw, 31g5m4lerjmoykobyt8cckxxx, 88x8tqxamao1dzdfz5libluui, 851tv9v6www1lbd2eeehwbrx0, 3e4twzsgwcxza9739q17gn4h6, 27ep4aadiffsck8usuolvc416, 8vulbgpf7e1nmpnawi5z8vbze, b8l2ubkujj1lhnld7k97qa2qy, 46v439ra4pzfd0xs7ddlkj7ro, 8h08hdzxeycejk9hao8022txw",5610618697,59,"32, 5, 23, 15, 14, 6, 77, 8, 17, 10, 11, 7, 9, 13, 18, 21, 22, 33, 56, 68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793675061,2,32,1,0,0,7xo09xnh3y03lyai6azr77fo0,1,0,0,2025-03-30T14:00:28.889Z,2025-03-30T14:00:31Z,5610898313,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793675055,2,32,1,0,0,ajwqetklk0m22x7ifsjax5yi,1,0,0,2025-03-30T14:00:28.889Z,2025-03-30T14:00:29Z,5610898295,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793675077,3,1,1,0,0,7xo09xnh3y03lyai6azr77fo0,1,50.2,50,2025-03-30T14:00:28.890Z,2025-03-30T14:00:32Z,5610898383,140,37.2,5610898387,212,14.5,5610898385,141,57.2,5610898381,56,Back,5610898389,213,2.8,5610898391,279,S,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793675119,4,1,1,0,3,7xo09xnh3y03lyai6azr77fo0,1,37.1,59,2025-03-30T14:00:32.169Z,2025-03-30T14:00:34Z,5610898733,140,43.2,5610898737,212,19.4,5610898735,141,32.1,5610898731,56,Back,5610898739,213,5.05,,,,,,,,,,cmipqs8kvp9fztc1ekgzlwogl,Mohammed Bemammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793675133,5,1,1,0,5,7xo09xnh3y03lyai6azr77fo0,0,45,33.7,2025-03-30T14:00:34.408Z,2025-03-30T14:00:36Z,5610898813,213,0.87,5610898809,141,88,5610898805,56,Left,5610898807,140,74.7,5610898815,1,,5610898811,212,48.3,5610898803,155,,,,,xm1pai2cllklkwkgpb7n5mmt,Néstor Albiach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793675191,3,1,1,0,8,ajwqetklk0m22x7ifsjax5yi,1,20.1,8.6,2025-03-30T14:00:37.262Z,2025-03-30T14:01:04Z,5610899097,56,Back,5610899103,212,9.8,5610899095,3,,5610899099,140,28.5,5610899105,213,0.45,5610899101,141,14.8,,,,,,,1ilh1vogo8mggj0vhf2oknswk,Nikhil Barla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793675197,4,49,1,0,10,ajwqetklk0m22x7ifsjax5yi,1,41.2,21.5,2025-03-30T14:00:39.562Z,2025-03-30T14:00:39Z,,,,,,,,,,,,,,,,,,,,,,,,,3vdeg67iuouaj5rfdrnh14h5h,Javi Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793675211,5,1,1,0,10,ajwqetklk0m22x7ifsjax5yi,1,41.2,21.5,2025-03-30T14:00:39.705Z,2025-03-30T14:00:40Z,5610899209,213,2.24,5610899201,56,Back,5610899205,141,29.1,5610899203,140,37.3,5610899207,212,6.6,,,,,,,,,,3vdeg67iuouaj5rfdrnh14h5h,Javi Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
