id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,assist,qualifier/15/value,teamName,Position
2794983559,1,34,16,0,0,9eqjks8amwm1ycytsoi7xld25,1,0,0,2025-04-02T13:06:59.462Z,2025-04-02T13:06:59Z,5618197729,130,8,5618197737,197,26696,5618197735,194,cs6a7dp9ot01jwplqj2xmxrrp,5618197723,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5618197739,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5618197727,59,"55, 17, 27, 4, 16, 3, 21, 15, 34, 26, 42, 8, 9, 10, 13, 14, 18, 20, 30, 41",5618197719,30,"ekizuw6hg7uyaojwjusby1jbo, dl5tnk2o8rwiacgbsnldojsdm, 9dp54x2ylvg08u109thcf7dux, 5hligrqwpc6qzxiyg4rfeay1h, cs6a7dp9ot01jwplqj2xmxrrp, qlk46xybcoxrvr01pauxibpx, d5adi48nrkr3n0dqoitcdzu95, j8o05z2drw3xbcgcwk7g04wl, 827uzczm286djuyq5m1jykr85, cjlcl3qpjqrsnouucxg7xpuqd, e2j3eitceuxqxf4lj5yjfccno, 57fizz3ad5m2w0qz8v6xeazmd, b3khxum0vaam8qme2imlwhh3p, a6ys5uqsrmmeorj6f8ogoxbvu, e7dhnqiwnz4k433yqu7sb13e2, 9d8lhd93zoyekfcypi15zt7je, 2133i1f3tem0bpoxw0naq3sgl, 8aa6rgjs6vqeqnt8f5dsu9l2h, 8ea7iywugl9n7ntz3uu251ih, cpodiheplpmn42lw8l2fdrjtg",5618197733,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2794984101,1,34,16,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,2025-04-02T13:08:21.072Z,2025-04-02T14:12:52Z,5618200789,30,"et5ztuwgv6uaiste9nxba9h3p, 7vwq6tjwae82epsh6kll9phm2, 3sy4rxdzl4u9e5kkvygxu9x7u, c8xdtls9ueivjll19yvp5wq1h, duxnzil70n1147w8ob8ooxo89, 183r263z06eesonzbta557ys5, jtmpumg28emowvrre2ujqtw5, de6woepvuggpm1z2cwz1nbmne, 7wpltjujzubkwy1k57jzcwafp, deyx0zxr2303hh3cru8l88u1g, cufgsqfkltgeb7ak2uan2dqdx, 52hvmgmgja56sqj0zga4tvk5x, 2a9hami994cy6omp5puter6c, 99cjmvx4xlyzhyf6wxlvisb11, eisspzerdcz21ukznum5q30bu, d9a3eym5myc3ohd1lr6d2036c, cqtsv8o9c603won64dpi3x2j8, c22j2xs6nnyho3hixmh0txo9g, 73ri99nts1mnwmuqoriohi50, bq6z0bjgr610tyjw8cs0hzr2t",5618200799,194,183r263z06eesonzbta557ys5,5618200803,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5618200793,59,"1, 25, 32, 18, 4, 2, 10, 8, 17, 9, 7, 5, 6, 11, 12, 14, 22, 23, 29, 30",5618200801,197,28018,5618200797,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5618200791,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5618200795,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2794998621,2,32,1,0,0,9eqjks8amwm1ycytsoi7xld25,1,0,0,2025-04-02T14:00:20.640Z,2025-04-02T14:00:27Z,5618287089,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2794998637,2,32,1,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,2025-04-02T14:00:20.640Z,2025-04-02T14:00:24Z,5618287171,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2794998645,3,1,1,0,0,9eqjks8amwm1ycytsoi7xld25,1,50.2,49.9,2025-04-02T14:00:20.641Z,2025-04-02T14:01:22Z,5618287225,213,3.06,5618287221,141,54,5618287227,1,,5618287219,140,17.3,5618287223,212,34.7,5618288807,189,,5618287217,56,Back,5618287229,279,S,cjlcl3qpjqrsnouucxg7xpuqd,Borja Herrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2794998661,4,1,1,0,8,9eqjks8amwm1ycytsoi7xld25,0,17.3,54,2025-04-02T14:00:28.905Z,2025-04-02T14:00:30Z,5618287285,157,,5618287295,213,6.21,5618287291,141,46,5618287287,56,Center,5618287297,1,,5618287293,212,70,5618287289,140,83.8,,,,ekizuw6hg7uyaojwjusby1jbo,Hrithik Tiwari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,Goalkeeper
2794998663,3,52,1,0,9,12ksg0e6d70senzilsic40fzl,1,9.2,51.2,2025-04-02T14:00:30.584Z,2025-04-02T14:00:30Z,,,,,,,,,,,,,,,,,,,,,,,,,et5ztuwgv6uaiste9nxba9h3p,Gurpreet Singh Sandhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,Goalkeeper
2794998695,4,1,1,0,13,12ksg0e6d70senzilsic40fzl,1,10.8,55.1,2025-04-02T14:00:34.480Z,2025-04-02T14:00:38Z,5618287497,212,17.9,5618287491,56,Back,5618287495,141,29.1,5618287489,123,,5618287499,213,4.88,5618287493,140,13.6,,,,,,,et5ztuwgv6uaiste9nxba9h3p,Gurpreet Singh Sandhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,Goalkeeper
2794998717,5,1,1,0,17,12ksg0e6d70senzilsic40fzl,1,21.9,30.7,2025-04-02T14:00:37.887Z,2025-04-02T14:00:41Z,5618287617,140,20.5,5618287619,141,67.6,5618287621,212,25.1,5618287623,213,1.63,5618287615,56,Back,,,,,,,,,,183r263z06eesonzbta557ys5,Rahul Bheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2794998739,6,1,1,0,20,12ksg0e6d70senzilsic40fzl,1,23.5,68.8,2025-04-02T14:00:41.135Z,2025-04-02T14:00:43Z,5618287695,213,4.63,5618287691,141,35.1,5618287687,56,Back,5618287693,212,23,5618287689,140,21.7,,,,,,,,,,duxnzil70n1147w8ob8ooxo89,Chinglensana Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
