id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,teamName,Position
2797177763,1,34,16,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,2025-04-06T13:07:04.700Z,2025-04-06T14:03:55Z,5630172907,197,21469,5630172909,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630172897,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5630172899,59,"1, 25, 32, 18, 2, 4, 10, 8, 17, 9, 30, 5, 6, 7, 11, 12, 19, 22, 23, 29",5630172901,130,4,5630172905,194,183r263z06eesonzbta557ys5,5630172903,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630172895,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2797183261,1,34,16,0,0,9eqjks8amwm1ycytsoi7xld25,1,0,0,2025-04-06T13:11:25.835Z,2025-04-06T13:11:26Z,5630202077,130,8,5630202085,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630202081,194,cs6a7dp9ot01jwplqj2xmxrrp,5630202079,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630202083,197,18537,5630202075,59,"55, 17, 27, 4, 16, 3, 21, 15, 34, 14, 8, 9, 10, 13, 18, 20, 26, 30, 41, 42",5630202071,30,"ekizuw6hg7uyaojwjusby1jbo, dl5tnk2o8rwiacgbsnldojsdm, 9dp54x2ylvg08u109thcf7dux, 5hligrqwpc6qzxiyg4rfeay1h, cs6a7dp9ot01jwplqj2xmxrrp, qlk46xybcoxrvr01pauxibpx, d5adi48nrkr3n0dqoitcdzu95, j8o05z2drw3xbcgcwk7g04wl, 827uzczm286djuyq5m1jykr85, 9d8lhd93zoyekfcypi15zt7je, 57fizz3ad5m2w0qz8v6xeazmd, b3khxum0vaam8qme2imlwhh3p, a6ys5uqsrmmeorj6f8ogoxbvu, e7dhnqiwnz4k433yqu7sb13e2, 2133i1f3tem0bpoxw0naq3sgl, 8aa6rgjs6vqeqnt8f5dsu9l2h, cjlcl3qpjqrsnouucxg7xpuqd, 8ea7iywugl9n7ntz3uu251ih, cpodiheplpmn42lw8l2fdrjtg, e2j3eitceuxqxf4lj5yjfccno",5630202073,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2797236571,2,32,1,0,0,9eqjks8amwm1ycytsoi7xld25,1,0,0,2025-04-06T14:00:12.323Z,2025-04-06T14:00:12Z,5630492525,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2797236575,2,32,1,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,2025-04-06T14:00:12.323Z,2025-04-06T14:00:13Z,5630492543,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2797236613,3,1,1,0,0,9eqjks8amwm1ycytsoi7xld25,1,50,50,2025-04-06T14:00:12.324Z,2025-04-06T14:00:16Z,5630492787,279,S,5630492779,140,27.6,5630492783,212,23.7,5630492777,56,Back,5630492781,141,54.5,5630492785,213,3.01,,,,,,,827uzczm286djuyq5m1jykr85,Iker Guarrotxena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2797236651,4,1,1,0,4,9eqjks8amwm1ycytsoi7xld25,1,27.6,54.5,2025-04-06T14:00:16.834Z,2025-04-06T14:00:20Z,5630492965,56,Back,5630492969,141,37.3,5630492967,140,19,5630492971,212,14.8,5630492973,213,4.05,,,,,,,,,,qlk46xybcoxrvr01pauxibpx,Sandesh Jhingan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2797236715,5,1,1,0,7,9eqjks8amwm1ycytsoi7xld25,0,19.8,37.6,2025-04-06T14:00:20.115Z,2025-04-06T14:00:26Z,5630493319,140,86,5630493329,213,0.03,5630493317,56,Center,5630493333,1,,5630493315,157,,5630493325,212,69.5,5630493321,141,40.3,,,,ekizuw6hg7uyaojwjusby1jbo,Hrithik Tiwari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2797236683,3,52,1,0,10,12ksg0e6d70senzilsic40fzl,1,15.7,57,2025-04-06T14:00:23.094Z,2025-04-06T14:00:23Z,,,,,,,,,,,,,,,,,,,,,,,,,et5ztuwgv6uaiste9nxba9h3p,Gurpreet Singh Sandhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2797236783,4,1,1,0,17,12ksg0e6d70senzilsic40fzl,1,13.8,46,2025-04-06T14:00:29.410Z,2025-04-06T14:00:32Z,5630493751,140,16.2,5630493755,141,72.6,5630493759,212,18.3,5630493743,123,,5630493747,56,Back,5630493761,213,1.43,,,,,,,et5ztuwgv6uaiste9nxba9h3p,Gurpreet Singh Sandhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2797236827,5,1,1,0,19,12ksg0e6d70senzilsic40fzl,1,16.2,72.6,2025-04-06T14:00:32.161Z,2025-04-06T14:00:35Z,5630494007,56,Back,5630494009,140,8.7,5630494013,212,17,5630494015,213,4.23,5630494011,141,50.4,,,,,,,,,,duxnzil70n1147w8ob8ooxo89,Chinglensana Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
