id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,teamName,Position
2797848069,1,34,16,0,0,ajwqetklk0m22x7ifsjax5yi,1,0,0,2025-04-07T12:59:57.780Z,2025-04-07T12:59:56Z,5633818297,130,2,5633818299,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5633818303,197,27608,5633818301,194,3vdeg67iuouaj5rfdrnh14h5h,5633818295,59,"32, 77, 23, 8, 14, 3, 12, 20, 17, 10, 11, 4, 7, 9, 13, 18, 21, 33, 56, 68",5633818293,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5633818305,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5633818291,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2797848339,1,34,16,0,0,9xb6v8osxty9w0mel2x7dd4ru,1,0,0,2025-04-07T13:01:06.950Z,2025-04-07T13:01:05Z,5633819953,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5633819951,30,"dwb1qzzd5g32lwxam6skmdr6x, ck9nyxv100c1x24zxde7fx1t6, 825wa3surm6iii587l4ekx7mx, 1yu4qt00czfbr5myr0cidwmw9, 3zl5ec82f8zebkxkfdz16e3th, 5hmx68vjqij9ywdv61v2qyrmy, 4sqnd13g7n9e4orv6hcp27fxm, 95zechkfla1l7dwt8sjhevvca, 31v9w4cyk1fxlig452kuc65ed, 4l0se1iapxcmd1jb4851aj6c5, 5u8pjzdgzsnrait021jvk3sdm, ar6epfwqqob8wx8tra17jxkgl, 1rsxl4rnswqez6c6rwp7768r9, 1cclqc2tw3zav2if1cqij7ofe, 1ljdpwqn16dijby5ss9eockfe, 1qthfdkbz92jucy9vpqimltec, wx88q7cbam0swyvjt262qui, doiw2drickz2eacyeudn3szmy, cdd3to4e3ac0d61iy3vtp6pzo, f4jhjhj5vfp8fp67m7a89di50",5633819955,59,"1, 44, 15, 6, 5, 21, 17, 45, 29, 35, 19, 9, 10, 11, 12, 16, 18, 22, 32, 72",5633819961,194,825wa3surm6iii587l4ekx7mx,5633819959,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5633819963,197,9596,5633819965,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5633819957,130,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2797861987,2,32,1,0,0,ajwqetklk0m22x7ifsjax5yi,1,0,0,2025-04-07T14:00:15.964Z,2025-04-07T14:00:16Z,5633902725,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2797861989,2,32,1,0,0,9xb6v8osxty9w0mel2x7dd4ru,1,0,0,2025-04-07T14:00:15.964Z,2025-04-07T14:00:18Z,5633902733,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2797861991,3,1,1,0,0,9xb6v8osxty9w0mel2x7dd4ru,1,49.8,50.3,2025-04-07T14:00:16.039Z,2025-04-07T14:00:20Z,5633902741,140,31.8,5633902743,141,61.5,5633902745,212,20.4,5633902749,279,S,5633902739,56,Back,5633902747,213,2.76,,,,,,,31v9w4cyk1fxlig452kuc65ed,Jamie Maclaren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2797862015,4,1,1,0,3,9xb6v8osxty9w0mel2x7dd4ru,1,29.6,53.4,2025-04-07T14:00:19.913Z,2025-04-07T14:01:20Z,5633902901,56,Back,5633902909,213,4.86,5633902903,140,33.3,5633902907,212,27.3,5633902905,141,13.7,,,,,,,,,,95zechkfla1l7dwt8sjhevvca,Apuia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2797862019,5,1,1,0,6,9xb6v8osxty9w0mel2x7dd4ru,1,35.2,18.8,2025-04-07T14:00:22.554Z,2025-04-07T14:00:25Z,5633902935,213,2.35,5633902929,140,25.6,5633902933,212,14.3,5633902927,56,Back,5633902931,141,33.7,,,,,,,,,,ck9nyxv100c1x24zxde7fx1t6,Asish Rai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2797862027,6,1,1,0,9,9xb6v8osxty9w0mel2x7dd4ru,1,26.8,37.1,2025-04-07T14:00:25.475Z,2025-04-07T14:00:28Z,5633902983,140,32.9,5633902981,56,Back,5633902989,213,1.24,5633902987,212,19.5,5633902985,141,64.2,,,,,,,,,,3zl5ec82f8zebkxkfdz16e3th,Tom Aldred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2797862049,7,1,1,0,12,9xb6v8osxty9w0mel2x7dd4ru,1,41,67.6,2025-04-07T14:00:28.210Z,2025-04-07T14:00:32Z,5633903091,213,0.63,5633903083,56,Left,5633903089,212,28.2,5633903087,141,92.1,5633903085,140,62.7,,,,,,,,,,5hmx68vjqij9ywdv61v2qyrmy,Alberto Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2797862067,8,1,1,0,16,9xb6v8osxty9w0mel2x7dd4ru,1,62.2,85.9,2025-04-07T14:00:32.116Z,2025-04-07T14:00:35Z,5633903165,212,20.9,5633903159,56,Back,5633903163,141,74.1,5633903161,140,43.8,5633903167,213,3.54,,,,,,,,,,825wa3surm6iii587l4ekx7mx,Subhasish Bose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
