id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/13/value,keyPass,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist,teamName,Position
2799648955,1,34,16,0,0,9xb6v8osxty9w0mel2x7dd4ru,1,0,0,2025-04-12T13:14:48.302Z,2025-04-12T14:01:12Z,5643922337,130,8,5643922341,194,825wa3surm6iii587l4ekx7mx,5643922331,30,"dwb1qzzd5g32lwxam6skmdr6x, ck9nyxv100c1x24zxde7fx1t6, 825wa3surm6iii587l4ekx7mx, 95zechkfla1l7dwt8sjhevvca, 3zl5ec82f8zebkxkfdz16e3th, 5hmx68vjqij9ywdv61v2qyrmy, 1cclqc2tw3zav2if1cqij7ofe, 1yu4qt00czfbr5myr0cidwmw9, 31v9w4cyk1fxlig452kuc65ed, 4l0se1iapxcmd1jb4851aj6c5, 4sqnd13g7n9e4orv6hcp27fxm, ar6epfwqqob8wx8tra17jxkgl, 1rsxl4rnswqez6c6rwp7768r9, 1ljdpwqn16dijby5ss9eockfe, 1qthfdkbz92jucy9vpqimltec, wx88q7cbam0swyvjt262qui, 5u8pjzdgzsnrait021jvk3sdm, doiw2drickz2eacyeudn3szmy, cdd3to4e3ac0d61iy3vtp6pzo, f4jhjhj5vfp8fp67m7a89di50",5643922339,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5643922333,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5643922335,59,"1, 44, 15, 45, 5, 21, 11, 6, 29, 35, 17, 9, 10, 12, 16, 18, 19, 22, 32, 72",5643922345,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5643922343,197,9596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2799655269,1,34,16,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,2025-04-12T13:19:52.544Z,2025-04-12T13:19:52Z,5643957719,30,"et5ztuwgv6uaiste9nxba9h3p, 7vwq6tjwae82epsh6kll9phm2, 3sy4rxdzl4u9e5kkvygxu9x7u, c8xdtls9ueivjll19yvp5wq1h, duxnzil70n1147w8ob8ooxo89, 183r263z06eesonzbta557ys5, jtmpumg28emowvrre2ujqtw5, de6woepvuggpm1z2cwz1nbmne, 7wpltjujzubkwy1k57jzcwafp, cufgsqfkltgeb7ak2uan2dqdx, 99cjmvx4xlyzhyf6wxlvisb11, 52hvmgmgja56sqj0zga4tvk5x, 2a9hami994cy6omp5puter6c, deyx0zxr2303hh3cru8l88u1g, eisspzerdcz21ukznum5q30bu, c22j2xs6nnyho3hixmh0txo9g, pf04royfgavano96z7n7x3v9, 73ri99nts1mnwmuqoriohi50, bq6z0bjgr610tyjw8cs0hzr2t, daflma7990pzvp9o2ebnzi1as",5643957727,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5643957733,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5643957723,59,"1, 25, 32, 18, 4, 2, 10, 8, 17, 7, 11, 5, 6, 9, 12, 23, 28, 29, 30, 31",5643957725,130,4,5643957731,197,21469,5643957729,194,99cjmvx4xlyzhyf6wxlvisb11,5643957721,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2799694573,2,32,1,0,0,9xb6v8osxty9w0mel2x7dd4ru,1,0,0,2025-04-12T14:00:14.720Z,2025-04-12T14:00:16Z,5644163085,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2799694583,2,32,1,0,0,12ksg0e6d70senzilsic40fzl,1,0,0,2025-04-12T14:00:14.720Z,2025-04-12T14:00:15Z,5644163109,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2799694597,3,1,1,0,0,9xb6v8osxty9w0mel2x7dd4ru,1,49.9,50.1,2025-04-12T14:00:14.784Z,2025-04-12T14:00:17Z,5644163145,140,27.6,5644163143,56,Back,5644163149,212,24.3,5644163147,141,59.7,5644163151,213,2.87,5644163153,279,S,,,,,,,31v9w4cyk1fxlig452kuc65ed,Jamie Maclaren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2799694721,4,1,1,0,3,9xb6v8osxty9w0mel2x7dd4ru,1,27.1,60.2,2025-04-12T14:00:18.220Z,2025-04-12T14:00:22Z,5644163779,213,5.75,5644163765,56,Right,5644163773,141,16.1,5644163769,140,75.9,5644163761,155,,5644163781,1,,5644163777,212,59.4,,,,5hmx68vjqij9ywdv61v2qyrmy,Alberto Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2799694731,5,44,1,0,6,9xb6v8osxty9w0mel2x7dd4ru,1,72.2,13.6,2025-04-12T14:00:20.871Z,2025-04-12T14:01:04Z,5644163809,286,,5644163849,233,3,5644163807,56,Right,,,,,,,,,,,,,,,,1cclqc2tw3zav2if1cqij7ofe,Manvir Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2799694715,3,44,1,0,6,12ksg0e6d70senzilsic40fzl,0,27.8,86.4,2025-04-12T14:00:20.872Z,2025-04-12T14:00:29Z,5644164081,233,5,5644163739,285,,5644163737,56,Back,,,,,,,,,,,,,,,,3sy4rxdzl4u9e5kkvygxu9x7u,Roshan Singh Naorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2799694931,6,1,1,0,7,9xb6v8osxty9w0mel2x7dd4ru,1,75.9,16.1,2025-04-12T14:00:21.940Z,2025-04-12T14:00:49Z,5644164749,3,,5644164757,140,83.6,5644164767,213,5.57,5644164761,141,5.9,5644164753,56,Right,5644164763,212,10.7,,,,,,,1cclqc2tw3zav2if1cqij7ofe,Manvir Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2799694939,7,1,1,0,11,9xb6v8osxty9w0mel2x7dd4ru,0,84.5,11.4,2025-04-12T14:00:25.876Z,2025-04-12T14:00:29Z,5644164813,213,1.54,5644164807,140,85.3,5644164811,212,25.4,5644164805,56,Center,5644164803,155,,5644164809,141,48.7,5644164801,2,,,,,4l0se1iapxcmd1jb4851aj6c5,Jason Cummings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2799694965,4,12,1,0,14,12ksg0e6d70senzilsic40fzl,1,13,49.1,2025-04-12T14:00:29.400Z,2025-04-12T14:01:25Z,5644164947,56,Back,5644164951,141,64.6,5644164953,212,23.1,5644164955,213,0.47,5644164949,140,32.6,5644173115,15,,,,,,,,183r263z06eesonzbta557ys5,Rahul Bheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2799695029,8,1,1,0,16,9xb6v8osxty9w0mel2x7dd4ru,0,70.8,31.2,2025-04-12T14:00:31.328Z,2025-04-12T14:00:32Z,5644165241,141,29.7,5644165239,140,81.7,5644165237,56,Center,5644165245,213,6.19,5644165243,212,11.5,,,,,,,,,,95zechkfla1l7dwt8sjhevvca,Apuia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
2799695039,5,8,1,0,18,12ksg0e6d70senzilsic40fzl,1,30.4,67.6,2025-04-12T14:00:32.778Z,2025-04-12T14:00:32Z,5644165279,56,Back,,,,,,,,,,,,,,,,,,,,,,de6woepvuggpm1z2cwz1nbmne,Suresh Singh Wangjam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2799695055,6,49,1,0,18,12ksg0e6d70senzilsic40fzl,1,30.4,67.6,2025-04-12T14:00:33.416Z,2025-04-12T14:00:33Z,,,,,,,,,,,,,,,,,,,,,,,,,de6woepvuggpm1z2cwz1nbmne,Suresh Singh Wangjam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2799695129,7,1,1,0,19,12ksg0e6d70senzilsic40fzl,1,30.4,67.6,2025-04-12T14:00:33.929Z,2025-04-12T14:00:35Z,5644165705,213,4.43,5644165699,141,57.9,5644165695,56,Back,5644165697,140,28.6,5644165701,212,6.9,,,,,,,,,,de6woepvuggpm1z2cwz1nbmne,Suresh Singh Wangjam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2799695203,8,1,1,0,20,12ksg0e6d70senzilsic40fzl,1,28.6,58.8,2025-04-12T14:00:35.352Z,2025-04-12T14:00:37Z,5644166017,140,20.9,5644166021,212,18,5644166023,213,2.04,5644166015,56,Back,5644166019,141,82.4,,,,,,,,,,c8xdtls9ueivjll19yvp5wq1h,Pedro Capó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2799695323,9,1,1,0,22,12ksg0e6d70senzilsic40fzl,0,22.7,84.2,2025-04-12T14:00:37.657Z,2025-04-12T14:00:41Z,5644166553,157,,5644166565,140,65.8,5644166575,213,0.19,5644166559,56,Left,5644166569,141,97.1,5644166573,212,46.1,5644166577,1,,,,,3sy4rxdzl4u9e5kkvygxu9x7u,Roshan Singh Naorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2799695305,9,49,1,0,25,9xb6v8osxty9w0mel2x7dd4ru,1,33.5,6.1,2025-04-12T14:00:40.669Z,2025-04-12T14:00:40Z,,,,,,,,,,,,,,,,,,,,,,,,,3zl5ec82f8zebkxkfdz16e3th,Tom Aldred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohun Bagan SG,
